path,category,include_in_git,rationale
outputs/TeamB_and_gate_abutment_optimization,F,review-by-policy,Formal machine-readable evidence and review atlases; track only if repository policy accepts non-LFS JSON/CSV/MD/GDS subsets
outputs/TeamB_delay_chain_reference_demo,F,review-by-policy,Formal machine-readable evidence and review atlases; track only if repository policy accepts non-LFS JSON/CSV/MD/GDS subsets
outputs/TeamB_inverter_chain_reference_demo,F,review-by-policy,Formal machine-readable evidence and review atlases; track only if repository policy accepts non-LFS JSON/CSV/MD/GDS subsets
outputs/TeamB_remaining9_reference_demo,F,review-by-policy,Formal machine-readable evidence and review atlases; track only if repository policy accepts non-LFS JSON/CSV/MD/GDS subsets
outputs/TeamB_9cell_integration/current_supported_config/_pairwise_trials,G,no,Scratch/intermediate trial artifacts
outputs/TeamB_9cell_integration/negative_test_work,G,no,Scratch/intermediate trial artifacts
outputs/_tmp_delay_chain_probe,G,no,Scratch/intermediate trial artifacts
outputs/_tmp_metric_probe,G,no,Scratch/intermediate trial artifacts
outputs/_tmp_zero_gap_probe,G,no,Scratch/intermediate trial artifacts
/data1/qujh/TEAM_B_9CELL_INTEGRATION_HUMAN_REVIEW_PACKAGE_LATEST.tar.gz,H,no,Server archive only; record path/SHA/size in reports
/data1/qujh/TEAM_B_9CELL_INTEGRATION_FULL_EVIDENCE_PACKAGE_LATEST.tar.gz,H,no,Server archive only; record path/SHA/size in reports
