module_name,pin_count,pins,source_trace
PINV1,4,"['VDD', 'VSS', 'A', 'Z']","{'source_file': 'sram_compiler/testbenches/sram_6t_core_testbench.py::Sram6TCoreTestbench.create_testbench', 'source_class': '', 'source_module_name': 'PINV1', 'role_hint': 'EXTRACTED_FROM_GENERATED_NETLIST'}"
TRANSMISSION_GATE,6,"['VDD', 'VSS', 'IN', 'OUT', 'CTR_P', 'CTR_N']","{'source_file': 'sram_compiler/subcircuits/time_generate.py', 'source_class': 'TransmissionGate', 'source_module_name': 'TRANSMISSION_GATE', 'role_hint': 'support_cell'}"
DATA_DFF,35,"['VDD', 'VSS', 'CLK', 'DIN0', 'DIN1', 'DIN2', 'DIN3', 'DIN4', 'DIN5', 'DIN6', 'DIN7', 'DIN8', 'DIN9', 'DIN10', 'DIN11', 'DIN12', 'DIN13', 'DIN14', 'DIN15', 'DIN_dff0', 'DIN_dff1', 'DIN_dff2', 'DIN_dff3', 'DIN_dff4', 'DIN_dff5', 'DIN_dff6', 'DIN_dff7', 'DIN_dff8', 'DIN_dff9', 'DIN_dff10', 'DIN_dff11', 'DIN_dff12', 'DIN_dff13', 'DIN_dff14', 'DIN_dff15']","{'source_file': 'sram_compiler/subcircuits/time_generate.py', 'source_class': 'DATA_DFF', 'source_module_name': 'DATA_DFF', 'role_hint': 'control_timing'}"
DFF,5,"['VDD', 'VSS', 'D', 'Q', 'CLK']","{'source_file': 'sram_compiler/subcircuits/time_generate.py', 'source_class': 'dff', 'source_module_name': 'DFF', 'role_hint': 'control_timing'}"
PINV1,4,"['VDD', 'VSS', 'A', 'Z']","{'source_file': 'sram_compiler/testbenches/sram_6t_core_testbench.py::Sram6TCoreTestbench.create_testbench', 'source_class': '', 'source_module_name': 'PINV1', 'role_hint': 'EXTRACTED_FROM_GENERATED_NETLIST'}"
TRANSMISSION_GATE,6,"['VDD', 'VSS', 'IN', 'OUT', 'CTR_P', 'CTR_N']","{'source_file': 'sram_compiler/subcircuits/time_generate.py', 'source_class': 'TransmissionGate', 'source_module_name': 'TRANSMISSION_GATE', 'role_hint': 'support_cell'}"
pdrive,4,"['VDD', 'VSS', 'A', 'Z']","{'source_file': 'sram_compiler/subcircuits/time_generate.py', 'source_class': 'pdrive', 'source_module_name': 'pdrive', 'role_hint': 'support_cell'}"
PINV1,4,"['VDD', 'VSS', 'A', 'Z']","{'source_file': 'sram_compiler/testbenches/sram_6t_core_testbench.py::Sram6TCoreTestbench.create_testbench', 'source_class': '', 'source_module_name': 'PINV1', 'role_hint': 'EXTRACTED_FROM_GENERATED_NETLIST'}"
PINV2,4,"['VDD', 'VSS', 'A', 'Z']","{'source_file': 'sram_compiler/testbenches/sram_6t_core_testbench.py::Sram6TCoreTestbench.create_testbench', 'source_class': '', 'source_module_name': 'PINV2', 'role_hint': 'EXTRACTED_FROM_GENERATED_NETLIST'}"
PINV3,4,"['VDD', 'VSS', 'A', 'Z']","{'source_file': 'sram_compiler/testbenches/sram_6t_core_testbench.py::Sram6TCoreTestbench.create_testbench', 'source_class': '', 'source_module_name': 'PINV3', 'role_hint': 'EXTRACTED_FROM_GENERATED_NETLIST'}"
PINV4,4,"['VDD', 'VSS', 'A', 'Z']","{'source_file': 'sram_compiler/testbenches/sram_6t_core_testbench.py::Sram6TCoreTestbench.create_testbench', 'source_class': '', 'source_module_name': 'PINV4', 'role_hint': 'EXTRACTED_FROM_GENERATED_NETLIST'}"
PINV,4,"['VDD', 'VSS', 'A', 'Z']","{'source_file': 'sram_compiler/testbenches/sram_6t_core_testbench.py::Sram6TCoreTestbench.create_testbench', 'source_class': '', 'source_module_name': 'PINV', 'role_hint': 'EXTRACTED_FROM_GENERATED_NETLIST'}"
DFF_BUF,6,"['VDD', 'VSS', 'D', 'Q', 'QB', 'CLK']","{'source_file': 'sram_compiler/subcircuits/time_generate.py', 'source_class': 'DFF_BUF', 'source_module_name': 'DFF_BUF', 'role_hint': 'support_cell'}"
DFF,5,"['VDD', 'VSS', 'D', 'Q', 'CLK']","{'source_file': 'sram_compiler/subcircuits/time_generate.py', 'source_class': 'dff', 'source_module_name': 'DFF', 'role_hint': 'control_timing'}"
PINV1,4,"['VDD', 'VSS', 'A', 'Z']","{'source_file': 'sram_compiler/testbenches/sram_6t_core_testbench.py::Sram6TCoreTestbench.create_testbench', 'source_class': '', 'source_module_name': 'PINV1', 'role_hint': 'EXTRACTED_FROM_GENERATED_NETLIST'}"
TRANSMISSION_GATE,6,"['VDD', 'VSS', 'IN', 'OUT', 'CTR_P', 'CTR_N']","{'source_file': 'sram_compiler/subcircuits/time_generate.py', 'source_class': 'TransmissionGate', 'source_module_name': 'TRANSMISSION_GATE', 'role_hint': 'support_cell'}"
PINV1,4,"['VDD', 'VSS', 'A', 'Z']","{'source_file': 'sram_compiler/testbenches/sram_6t_core_testbench.py::Sram6TCoreTestbench.create_testbench', 'source_class': '', 'source_module_name': 'PINV1', 'role_hint': 'EXTRACTED_FROM_GENERATED_NETLIST'}"
PINV2,4,"['VDD', 'VSS', 'A', 'Z']","{'source_file': 'sram_compiler/testbenches/sram_6t_core_testbench.py::Sram6TCoreTestbench.create_testbench', 'source_class': '', 'source_module_name': 'PINV2', 'role_hint': 'EXTRACTED_FROM_GENERATED_NETLIST'}"
AND2,5,"['VDD', 'VSS', 'A', 'B', 'Z']","{'source_file': 'sram_compiler/subcircuits/standard_cell.py', 'source_class': 'AND2', 'source_module_name': 'AND2', 'role_hint': 'support_cell'}"
PNAND2,5,"['VDD', 'VSS', 'A', 'B', 'Z']","{'source_file': 'sram_compiler/subcircuits/standard_cell.py', 'source_class': 'PNAND2', 'source_module_name': 'PNAND2', 'role_hint': 'support_cell'}"
PINV,4,"['VDD', 'VSS', 'A', 'Z']","{'source_file': 'sram_compiler/testbenches/sram_6t_core_testbench.py::Sram6TCoreTestbench.create_testbench', 'source_class': '', 'source_module_name': 'PINV', 'role_hint': 'EXTRACTED_FROM_GENERATED_NETLIST'}"
wl_pdrive,4,"['VDD', 'VSS', 'A', 'Z']","{'source_file': 'sram_compiler/subcircuits/time_generate.py', 'source_class': 'wl_pdrive', 'source_module_name': 'wl_pdrive', 'role_hint': 'support_cell'}"
PINV1,4,"['VDD', 'VSS', 'A', 'Z']","{'source_file': 'sram_compiler/testbenches/sram_6t_core_testbench.py::Sram6TCoreTestbench.create_testbench', 'source_class': '', 'source_module_name': 'PINV1', 'role_hint': 'EXTRACTED_FROM_GENERATED_NETLIST'}"
PINV2,4,"['VDD', 'VSS', 'A', 'Z']","{'source_file': 'sram_compiler/testbenches/sram_6t_core_testbench.py::Sram6TCoreTestbench.create_testbench', 'source_class': '', 'source_module_name': 'PINV2', 'role_hint': 'EXTRACTED_FROM_GENERATED_NETLIST'}"
PINV_wl_en_bar,4,"['VDD', 'VSS', 'A', 'Z']","{'source_file': 'sram_compiler/testbenches/sram_6t_core_testbench.py::Sram6TCoreTestbench.create_testbench', 'source_class': '', 'source_module_name': 'PINV_wl_en_bar', 'role_hint': 'EXTRACTED_FROM_GENERATED_NETLIST'}"
delay_chain,4,"['VDD', 'VSS', 'in', 'out']","{'source_file': 'sram_compiler/subcircuits/time_generate.py', 'source_class': 'DelayChain', 'source_module_name': 'delay_chain', 'role_hint': 'control_timing'}"
PINV1,4,"['VDD', 'VSS', 'A', 'Z']","{'source_file': 'sram_compiler/testbenches/sram_6t_core_testbench.py::Sram6TCoreTestbench.create_testbench', 'source_class': '', 'source_module_name': 'PINV1', 'role_hint': 'EXTRACTED_FROM_GENERATED_NETLIST'}"
AND3,6,"['VDD', 'VSS', 'A', 'B', 'C', 'Z']","{'source_file': 'sram_compiler/subcircuits/standard_cell.py', 'source_class': 'AND3', 'source_module_name': 'AND3', 'role_hint': 'support_cell'}"
PNAND3,6,"['VDD', 'VSS', 'A', 'B', 'C', 'Z']","{'source_file': 'sram_compiler/subcircuits/standard_cell.py', 'source_class': 'PNAND3', 'source_module_name': 'PNAND3', 'role_hint': 'support_cell'}"
PINV,4,"['VDD', 'VSS', 'A', 'Z']","{'source_file': 'sram_compiler/testbenches/sram_6t_core_testbench.py::Sram6TCoreTestbench.create_testbench', 'source_class': '', 'source_module_name': 'PINV', 'role_hint': 'EXTRACTED_FROM_GENERATED_NETLIST'}"
PNAND3,6,"['VDD', 'VSS', 'A', 'B', 'C', 'Z']","{'source_file': 'sram_compiler/subcircuits/standard_cell.py', 'source_class': 'PNAND3', 'source_module_name': 'PNAND3', 'role_hint': 'support_cell'}"
pdrive2_for_pre,4,"['VDD', 'VSS', 'A', 'Z']","{'source_file': 'sram_compiler/subcircuits/time_generate.py', 'source_class': 'pdrive2_for_pre', 'source_module_name': 'pdrive2_for_pre', 'role_hint': 'support_cell'}"
PINV1,4,"['VDD', 'VSS', 'A', 'Z']","{'source_file': 'sram_compiler/testbenches/sram_6t_core_testbench.py::Sram6TCoreTestbench.create_testbench', 'source_class': '', 'source_module_name': 'PINV1', 'role_hint': 'EXTRACTED_FROM_GENERATED_NETLIST'}"
PINV2,4,"['VDD', 'VSS', 'A', 'Z']","{'source_file': 'sram_compiler/testbenches/sram_6t_core_testbench.py::Sram6TCoreTestbench.create_testbench', 'source_class': '', 'source_module_name': 'PINV2', 'role_hint': 'EXTRACTED_FROM_GENERATED_NETLIST'}"
DECODER_CASCADE,22,"['VDD', 'VSS', 'A0', 'A1', 'A2', 'A3', 'WL0', 'WL1', 'WL2', 'WL3', 'WL4', 'WL5', 'WL6', 'WL7', 'WL8', 'WL9', 'WL10', 'WL11', 'WL12', 'WL13', 'WL14', 'WL15']","{'source_file': 'sram_compiler/subcircuits/decoder.py', 'source_class': 'DECODER_CASCADE', 'source_module_name': 'DECODER_CASCADE', 'role_hint': 'decoder'}"
DECODER3_8,14,"['VDD', 'VSS', 'EN', 'A0', 'A1', 'A2', 'WL0', 'WL1', 'WL2', 'WL3', 'WL4', 'WL5', 'WL6', 'WL7']","{'source_file': 'sram_compiler/subcircuits/decoder.py', 'source_class': 'DECODER3_8', 'source_module_name': 'DECODER3_8', 'role_hint': 'decoder'}"
PINV,4,"['VDD', 'VSS', 'A', 'Z']","{'source_file': 'sram_compiler/testbenches/sram_6t_core_testbench.py::Sram6TCoreTestbench.create_testbench', 'source_class': '', 'source_module_name': 'PINV', 'role_hint': 'EXTRACTED_FROM_GENERATED_NETLIST'}"
AND3,6,"['VDD', 'VSS', 'A', 'B', 'C', 'Z']","{'source_file': 'sram_compiler/subcircuits/standard_cell.py', 'source_class': 'AND3', 'source_module_name': 'AND3', 'role_hint': 'support_cell'}"
PNAND3,6,"['VDD', 'VSS', 'A', 'B', 'C', 'Z']","{'source_file': 'sram_compiler/subcircuits/standard_cell.py', 'source_class': 'PNAND3', 'source_module_name': 'PNAND3', 'role_hint': 'support_cell'}"
PINV,4,"['VDD', 'VSS', 'A', 'Z']","{'source_file': 'sram_compiler/testbenches/sram_6t_core_testbench.py::Sram6TCoreTestbench.create_testbench', 'source_class': '', 'source_module_name': 'PINV', 'role_hint': 'EXTRACTED_FROM_GENERATED_NETLIST'}"
AND2,5,"['VDD', 'VSS', 'A', 'B', 'Z']","{'source_file': 'sram_compiler/subcircuits/standard_cell.py', 'source_class': 'AND2', 'source_module_name': 'AND2', 'role_hint': 'support_cell'}"
PNAND2,5,"['VDD', 'VSS', 'A', 'B', 'Z']","{'source_file': 'sram_compiler/subcircuits/standard_cell.py', 'source_class': 'PNAND2', 'source_module_name': 'PNAND2', 'role_hint': 'support_cell'}"
PINV,4,"['VDD', 'VSS', 'A', 'Z']","{'source_file': 'sram_compiler/testbenches/sram_6t_core_testbench.py::Sram6TCoreTestbench.create_testbench', 'source_class': '', 'source_module_name': 'PINV', 'role_hint': 'EXTRACTED_FROM_GENERATED_NETLIST'}"
WORDLINEDRIVER,5,"['VDD', 'VSS', 'A', 'B', 'Z']","{'source_file': 'sram_compiler/subcircuits/wordline_driver.py', 'source_class': 'WordlineDriver', 'source_module_name': 'WORDLINEDRIVER', 'role_hint': 'wordline_driver'}"
PNAND2,5,"['VDD', 'VSS', 'A', 'B', 'Z']","{'source_file': 'sram_compiler/subcircuits/standard_cell.py', 'source_class': 'PNAND2', 'source_module_name': 'PNAND2', 'role_hint': 'support_cell'}"
PINV,4,"['VDD', 'VSS', 'A', 'Z']","{'source_file': 'sram_compiler/testbenches/sram_6t_core_testbench.py::Sram6TCoreTestbench.create_testbench', 'source_class': '', 'source_module_name': 'PINV', 'role_hint': 'EXTRACTED_FROM_GENERATED_NETLIST'}"
D_LATCH,6,"['VDD', 'VSS', 'D', 'EN', 'Q', 'QB']","{'source_file': 'sram_compiler/subcircuits/standard_cell.py', 'source_class': 'D_latch', 'source_module_name': 'D_LATCH', 'role_hint': 'support_cell'}"
PNAND2,5,"['VDD', 'VSS', 'A', 'B', 'Z']","{'source_file': 'sram_compiler/subcircuits/standard_cell.py', 'source_class': 'PNAND2', 'source_module_name': 'PNAND2', 'role_hint': 'support_cell'}"
PINV,4,"['VDD', 'VSS', 'A', 'Z']","{'source_file': 'sram_compiler/testbenches/sram_6t_core_testbench.py::Sram6TCoreTestbench.create_testbench', 'source_class': '', 'source_module_name': 'PINV', 'role_hint': 'EXTRACTED_FROM_GENERATED_NETLIST'}"
PRECHARGE,4,"['VDD', 'ENB', 'BL', 'BLB']","{'source_file': 'sram_compiler/subcircuits/precharge_and_write_driver.py', 'source_class': 'Precharge', 'source_module_name': 'PRECHARGE', 'role_hint': 'precharge'}"
SENSEAMP,7,"['VDD', 'VSS', 'EN', 'IN', 'INB', 'Q', 'QB']","{'source_file': 'sram_compiler/subcircuits/mux_and_sa.py', 'source_class': 'SenseAmp', 'source_module_name': 'SENSEAMP', 'role_hint': 'sense_amp'}"
WRITEDRIVER,6,"['VDD', 'VSS', 'EN', 'DIN', 'BL', 'BLB']","{'source_file': 'sram_compiler/subcircuits/precharge_and_write_driver.py', 'source_class': 'WriteDriver', 'source_module_name': 'WRITEDRIVER', 'role_hint': 'write_driver'}"
OPENYIELD_SRAM_TOP_V1,57,"['VDD', 'VSS', 'clk', 'csb', 'web', 'A0', 'A1', 'A2', 'A3', 'DIN0', 'DIN1', 'DIN2', 'DIN3', 'DIN4', 'DIN5', 'DIN6', 'DIN7', 'DIN8', 'DIN9', 'DIN10', 'DIN11', 'DIN12', 'DIN13', 'DIN14', 'DIN15', 'SA_Q0', 'SA_Q1', 'SA_Q2', 'SA_Q3', 'SA_Q4', 'SA_Q5', 'SA_Q6', 'SA_Q7', 'SA_Q8', 'SA_Q9', 'SA_Q10', 'SA_Q11', 'SA_Q12', 'SA_Q13', 'SA_Q14', 'SA_Q15', 'SA_QB0', 'SA_QB1', 'SA_QB2', 'SA_QB3', 'SA_QB4', 'SA_QB5', 'SA_QB6', 'SA_QB7', 'SA_QB8', 'SA_QB9', 'SA_QB10', 'SA_QB11', 'SA_QB12', 'SA_QB13', 'SA_QB14', 'SA_QB15']","{'source_file': 'sram_compiler/testbenches/sram_6t_core_testbench.py::Sram6TCoreTestbench.create_testbench', 'source_class': '', 'source_module_name': 'OPENYIELD_SRAM_TOP_V1', 'role_hint': 'EXTRACTED_FROM_GENERATED_NETLIST'}"
