module_name,pin_name,canonical_name,pin_role,source_trace
OPENYIELD_SRAM_TOP_V1,DIN1,din1,data_input,"{'generator': 'sram_compiler/testbenches/sram_6t_core_testbench.py::Sram6TCoreTestbench.create_testbench', 'sample_netlist': 'outputs/M12N_lock_openyield_authoritative_netlist/current_supported_config/sample_openyield_sram_netlist.sp'}"
OPENYIELD_SRAM_TOP_V1,DIN2,din2,data_input,"{'generator': 'sram_compiler/testbenches/sram_6t_core_testbench.py::Sram6TCoreTestbench.create_testbench', 'sample_netlist': 'outputs/M12N_lock_openyield_authoritative_netlist/current_supported_config/sample_openyield_sram_netlist.sp'}"
OPENYIELD_SRAM_TOP_V1,DIN3,din3,data_input,"{'generator': 'sram_compiler/testbenches/sram_6t_core_testbench.py::Sram6TCoreTestbench.create_testbench', 'sample_netlist': 'outputs/M12N_lock_openyield_authoritative_netlist/current_supported_config/sample_openyield_sram_netlist.sp'}"
OPENYIELD_SRAM_TOP_V1,DIN4,din4,data_input,"{'generator': 'sram_compiler/testbenches/sram_6t_core_testbench.py::Sram6TCoreTestbench.create_testbench', 'sample_netlist': 'outputs/M12N_lock_openyield_authoritative_netlist/current_supported_config/sample_openyield_sram_netlist.sp'}"
OPENYIELD_SRAM_TOP_V1,DIN5,din5,data_input,"{'generator': 'sram_compiler/testbenches/sram_6t_core_testbench.py::Sram6TCoreTestbench.create_testbench', 'sample_netlist': 'outputs/M12N_lock_openyield_authoritative_netlist/current_supported_config/sample_openyield_sram_netlist.sp'}"
OPENYIELD_SRAM_TOP_V1,DIN6,din6,data_input,"{'generator': 'sram_compiler/testbenches/sram_6t_core_testbench.py::Sram6TCoreTestbench.create_testbench', 'sample_netlist': 'outputs/M12N_lock_openyield_authoritative_netlist/current_supported_config/sample_openyield_sram_netlist.sp'}"
OPENYIELD_SRAM_TOP_V1,DIN7,din7,data_input,"{'generator': 'sram_compiler/testbenches/sram_6t_core_testbench.py::Sram6TCoreTestbench.create_testbench', 'sample_netlist': 'outputs/M12N_lock_openyield_authoritative_netlist/current_supported_config/sample_openyield_sram_netlist.sp'}"
OPENYIELD_SRAM_TOP_V1,DIN8,din8,data_input,"{'generator': 'sram_compiler/testbenches/sram_6t_core_testbench.py::Sram6TCoreTestbench.create_testbench', 'sample_netlist': 'outputs/M12N_lock_openyield_authoritative_netlist/current_supported_config/sample_openyield_sram_netlist.sp'}"
OPENYIELD_SRAM_TOP_V1,DIN9,din9,data_input,"{'generator': 'sram_compiler/testbenches/sram_6t_core_testbench.py::Sram6TCoreTestbench.create_testbench', 'sample_netlist': 'outputs/M12N_lock_openyield_authoritative_netlist/current_supported_config/sample_openyield_sram_netlist.sp'}"
OPENYIELD_SRAM_TOP_V1,DIN10,din10,data_input,"{'generator': 'sram_compiler/testbenches/sram_6t_core_testbench.py::Sram6TCoreTestbench.create_testbench', 'sample_netlist': 'outputs/M12N_lock_openyield_authoritative_netlist/current_supported_config/sample_openyield_sram_netlist.sp'}"
OPENYIELD_SRAM_TOP_V1,DIN11,din11,data_input,"{'generator': 'sram_compiler/testbenches/sram_6t_core_testbench.py::Sram6TCoreTestbench.create_testbench', 'sample_netlist': 'outputs/M12N_lock_openyield_authoritative_netlist/current_supported_config/sample_openyield_sram_netlist.sp'}"
OPENYIELD_SRAM_TOP_V1,DIN12,din12,data_input,"{'generator': 'sram_compiler/testbenches/sram_6t_core_testbench.py::Sram6TCoreTestbench.create_testbench', 'sample_netlist': 'outputs/M12N_lock_openyield_authoritative_netlist/current_supported_config/sample_openyield_sram_netlist.sp'}"
OPENYIELD_SRAM_TOP_V1,DIN13,din13,data_input,"{'generator': 'sram_compiler/testbenches/sram_6t_core_testbench.py::Sram6TCoreTestbench.create_testbench', 'sample_netlist': 'outputs/M12N_lock_openyield_authoritative_netlist/current_supported_config/sample_openyield_sram_netlist.sp'}"
OPENYIELD_SRAM_TOP_V1,DIN14,din14,data_input,"{'generator': 'sram_compiler/testbenches/sram_6t_core_testbench.py::Sram6TCoreTestbench.create_testbench', 'sample_netlist': 'outputs/M12N_lock_openyield_authoritative_netlist/current_supported_config/sample_openyield_sram_netlist.sp'}"
OPENYIELD_SRAM_TOP_V1,DIN15,din15,data_input,"{'generator': 'sram_compiler/testbenches/sram_6t_core_testbench.py::Sram6TCoreTestbench.create_testbench', 'sample_netlist': 'outputs/M12N_lock_openyield_authoritative_netlist/current_supported_config/sample_openyield_sram_netlist.sp'}"
OPENYIELD_SRAM_TOP_V1,SA_Q0,sa_q0,data_output,"{'generator': 'sram_compiler/testbenches/sram_6t_core_testbench.py::Sram6TCoreTestbench.create_testbench', 'sample_netlist': 'outputs/M12N_lock_openyield_authoritative_netlist/current_supported_config/sample_openyield_sram_netlist.sp'}"
OPENYIELD_SRAM_TOP_V1,SA_Q1,sa_q1,data_output,"{'generator': 'sram_compiler/testbenches/sram_6t_core_testbench.py::Sram6TCoreTestbench.create_testbench', 'sample_netlist': 'outputs/M12N_lock_openyield_authoritative_netlist/current_supported_config/sample_openyield_sram_netlist.sp'}"
OPENYIELD_SRAM_TOP_V1,SA_Q2,sa_q2,data_output,"{'generator': 'sram_compiler/testbenches/sram_6t_core_testbench.py::Sram6TCoreTestbench.create_testbench', 'sample_netlist': 'outputs/M12N_lock_openyield_authoritative_netlist/current_supported_config/sample_openyield_sram_netlist.sp'}"
OPENYIELD_SRAM_TOP_V1,SA_Q3,sa_q3,data_output,"{'generator': 'sram_compiler/testbenches/sram_6t_core_testbench.py::Sram6TCoreTestbench.create_testbench', 'sample_netlist': 'outputs/M12N_lock_openyield_authoritative_netlist/current_supported_config/sample_openyield_sram_netlist.sp'}"
OPENYIELD_SRAM_TOP_V1,SA_Q4,sa_q4,data_output,"{'generator': 'sram_compiler/testbenches/sram_6t_core_testbench.py::Sram6TCoreTestbench.create_testbench', 'sample_netlist': 'outputs/M12N_lock_openyield_authoritative_netlist/current_supported_config/sample_openyield_sram_netlist.sp'}"
OPENYIELD_SRAM_TOP_V1,SA_Q5,sa_q5,data_output,"{'generator': 'sram_compiler/testbenches/sram_6t_core_testbench.py::Sram6TCoreTestbench.create_testbench', 'sample_netlist': 'outputs/M12N_lock_openyield_authoritative_netlist/current_supported_config/sample_openyield_sram_netlist.sp'}"
OPENYIELD_SRAM_TOP_V1,SA_Q6,sa_q6,data_output,"{'generator': 'sram_compiler/testbenches/sram_6t_core_testbench.py::Sram6TCoreTestbench.create_testbench', 'sample_netlist': 'outputs/M12N_lock_openyield_authoritative_netlist/current_supported_config/sample_openyield_sram_netlist.sp'}"
OPENYIELD_SRAM_TOP_V1,SA_Q7,sa_q7,data_output,"{'generator': 'sram_compiler/testbenches/sram_6t_core_testbench.py::Sram6TCoreTestbench.create_testbench', 'sample_netlist': 'outputs/M12N_lock_openyield_authoritative_netlist/current_supported_config/sample_openyield_sram_netlist.sp'}"
OPENYIELD_SRAM_TOP_V1,SA_Q8,sa_q8,data_output,"{'generator': 'sram_compiler/testbenches/sram_6t_core_testbench.py::Sram6TCoreTestbench.create_testbench', 'sample_netlist': 'outputs/M12N_lock_openyield_authoritative_netlist/current_supported_config/sample_openyield_sram_netlist.sp'}"
OPENYIELD_SRAM_TOP_V1,SA_Q9,sa_q9,data_output,"{'generator': 'sram_compiler/testbenches/sram_6t_core_testbench.py::Sram6TCoreTestbench.create_testbench', 'sample_netlist': 'outputs/M12N_lock_openyield_authoritative_netlist/current_supported_config/sample_openyield_sram_netlist.sp'}"
OPENYIELD_SRAM_TOP_V1,SA_Q10,sa_q10,data_output,"{'generator': 'sram_compiler/testbenches/sram_6t_core_testbench.py::Sram6TCoreTestbench.create_testbench', 'sample_netlist': 'outputs/M12N_lock_openyield_authoritative_netlist/current_supported_config/sample_openyield_sram_netlist.sp'}"
OPENYIELD_SRAM_TOP_V1,SA_Q11,sa_q11,data_output,"{'generator': 'sram_compiler/testbenches/sram_6t_core_testbench.py::Sram6TCoreTestbench.create_testbench', 'sample_netlist': 'outputs/M12N_lock_openyield_authoritative_netlist/current_supported_config/sample_openyield_sram_netlist.sp'}"
OPENYIELD_SRAM_TOP_V1,SA_Q12,sa_q12,data_output,"{'generator': 'sram_compiler/testbenches/sram_6t_core_testbench.py::Sram6TCoreTestbench.create_testbench', 'sample_netlist': 'outputs/M12N_lock_openyield_authoritative_netlist/current_supported_config/sample_openyield_sram_netlist.sp'}"
OPENYIELD_SRAM_TOP_V1,SA_Q13,sa_q13,data_output,"{'generator': 'sram_compiler/testbenches/sram_6t_core_testbench.py::Sram6TCoreTestbench.create_testbench', 'sample_netlist': 'outputs/M12N_lock_openyield_authoritative_netlist/current_supported_config/sample_openyield_sram_netlist.sp'}"
OPENYIELD_SRAM_TOP_V1,SA_Q14,sa_q14,data_output,"{'generator': 'sram_compiler/testbenches/sram_6t_core_testbench.py::Sram6TCoreTestbench.create_testbench', 'sample_netlist': 'outputs/M12N_lock_openyield_authoritative_netlist/current_supported_config/sample_openyield_sram_netlist.sp'}"
OPENYIELD_SRAM_TOP_V1,SA_Q15,sa_q15,data_output,"{'generator': 'sram_compiler/testbenches/sram_6t_core_testbench.py::Sram6TCoreTestbench.create_testbench', 'sample_netlist': 'outputs/M12N_lock_openyield_authoritative_netlist/current_supported_config/sample_openyield_sram_netlist.sp'}"
OPENYIELD_SRAM_TOP_V1,SA_QB0,sa_qb0,data_output_bar,"{'generator': 'sram_compiler/testbenches/sram_6t_core_testbench.py::Sram6TCoreTestbench.create_testbench', 'sample_netlist': 'outputs/M12N_lock_openyield_authoritative_netlist/current_supported_config/sample_openyield_sram_netlist.sp'}"
OPENYIELD_SRAM_TOP_V1,SA_QB1,sa_qb1,data_output_bar,"{'generator': 'sram_compiler/testbenches/sram_6t_core_testbench.py::Sram6TCoreTestbench.create_testbench', 'sample_netlist': 'outputs/M12N_lock_openyield_authoritative_netlist/current_supported_config/sample_openyield_sram_netlist.sp'}"
OPENYIELD_SRAM_TOP_V1,SA_QB2,sa_qb2,data_output_bar,"{'generator': 'sram_compiler/testbenches/sram_6t_core_testbench.py::Sram6TCoreTestbench.create_testbench', 'sample_netlist': 'outputs/M12N_lock_openyield_authoritative_netlist/current_supported_config/sample_openyield_sram_netlist.sp'}"
OPENYIELD_SRAM_TOP_V1,SA_QB3,sa_qb3,data_output_bar,"{'generator': 'sram_compiler/testbenches/sram_6t_core_testbench.py::Sram6TCoreTestbench.create_testbench', 'sample_netlist': 'outputs/M12N_lock_openyield_authoritative_netlist/current_supported_config/sample_openyield_sram_netlist.sp'}"
OPENYIELD_SRAM_TOP_V1,SA_QB4,sa_qb4,data_output_bar,"{'generator': 'sram_compiler/testbenches/sram_6t_core_testbench.py::Sram6TCoreTestbench.create_testbench', 'sample_netlist': 'outputs/M12N_lock_openyield_authoritative_netlist/current_supported_config/sample_openyield_sram_netlist.sp'}"
OPENYIELD_SRAM_TOP_V1,SA_QB5,sa_qb5,data_output_bar,"{'generator': 'sram_compiler/testbenches/sram_6t_core_testbench.py::Sram6TCoreTestbench.create_testbench', 'sample_netlist': 'outputs/M12N_lock_openyield_authoritative_netlist/current_supported_config/sample_openyield_sram_netlist.sp'}"
OPENYIELD_SRAM_TOP_V1,SA_QB6,sa_qb6,data_output_bar,"{'generator': 'sram_compiler/testbenches/sram_6t_core_testbench.py::Sram6TCoreTestbench.create_testbench', 'sample_netlist': 'outputs/M12N_lock_openyield_authoritative_netlist/current_supported_config/sample_openyield_sram_netlist.sp'}"
OPENYIELD_SRAM_TOP_V1,SA_QB7,sa_qb7,data_output_bar,"{'generator': 'sram_compiler/testbenches/sram_6t_core_testbench.py::Sram6TCoreTestbench.create_testbench', 'sample_netlist': 'outputs/M12N_lock_openyield_authoritative_netlist/current_supported_config/sample_openyield_sram_netlist.sp'}"
OPENYIELD_SRAM_TOP_V1,SA_QB8,sa_qb8,data_output_bar,"{'generator': 'sram_compiler/testbenches/sram_6t_core_testbench.py::Sram6TCoreTestbench.create_testbench', 'sample_netlist': 'outputs/M12N_lock_openyield_authoritative_netlist/current_supported_config/sample_openyield_sram_netlist.sp'}"
OPENYIELD_SRAM_TOP_V1,SA_QB9,sa_qb9,data_output_bar,"{'generator': 'sram_compiler/testbenches/sram_6t_core_testbench.py::Sram6TCoreTestbench.create_testbench', 'sample_netlist': 'outputs/M12N_lock_openyield_authoritative_netlist/current_supported_config/sample_openyield_sram_netlist.sp'}"
OPENYIELD_SRAM_TOP_V1,SA_QB10,sa_qb10,data_output_bar,"{'generator': 'sram_compiler/testbenches/sram_6t_core_testbench.py::Sram6TCoreTestbench.create_testbench', 'sample_netlist': 'outputs/M12N_lock_openyield_authoritative_netlist/current_supported_config/sample_openyield_sram_netlist.sp'}"
OPENYIELD_SRAM_TOP_V1,SA_QB11,sa_qb11,data_output_bar,"{'generator': 'sram_compiler/testbenches/sram_6t_core_testbench.py::Sram6TCoreTestbench.create_testbench', 'sample_netlist': 'outputs/M12N_lock_openyield_authoritative_netlist/current_supported_config/sample_openyield_sram_netlist.sp'}"
OPENYIELD_SRAM_TOP_V1,SA_QB12,sa_qb12,data_output_bar,"{'generator': 'sram_compiler/testbenches/sram_6t_core_testbench.py::Sram6TCoreTestbench.create_testbench', 'sample_netlist': 'outputs/M12N_lock_openyield_authoritative_netlist/current_supported_config/sample_openyield_sram_netlist.sp'}"
OPENYIELD_SRAM_TOP_V1,SA_QB13,sa_qb13,data_output_bar,"{'generator': 'sram_compiler/testbenches/sram_6t_core_testbench.py::Sram6TCoreTestbench.create_testbench', 'sample_netlist': 'outputs/M12N_lock_openyield_authoritative_netlist/current_supported_config/sample_openyield_sram_netlist.sp'}"
OPENYIELD_SRAM_TOP_V1,SA_QB14,sa_qb14,data_output_bar,"{'generator': 'sram_compiler/testbenches/sram_6t_core_testbench.py::Sram6TCoreTestbench.create_testbench', 'sample_netlist': 'outputs/M12N_lock_openyield_authoritative_netlist/current_supported_config/sample_openyield_sram_netlist.sp'}"
OPENYIELD_SRAM_TOP_V1,SA_QB15,sa_qb15,data_output_bar,"{'generator': 'sram_compiler/testbenches/sram_6t_core_testbench.py::Sram6TCoreTestbench.create_testbench', 'sample_netlist': 'outputs/M12N_lock_openyield_authoritative_netlist/current_supported_config/sample_openyield_sram_netlist.sp'}"
