contact_count,kind,net,reason,terminal,x,y
1,ACTIVE_ACCESS,VSS,MVP explicit electrical access for LVS-closed baseline,Minv7_MN_S,27.77,2.0
1,ACTIVE_ACCESS,QB,MVP explicit electrical access for LVS-closed baseline,Minv7_MN_D,28.63,2.0
1,POLY_ACCESS,Q,MVP explicit electrical access for LVS-closed baseline,Minv7_MN_G,28.2,2.345
1,ACTIVE_ACCESS,z1,MVP explicit electrical access for LVS-closed baseline,Mtg1_MN_S,29.27,2.0
1,ACTIVE_ACCESS,D_b,MVP explicit electrical access for LVS-closed baseline,Mtg1_MN_D,30.13,2.0
1,POLY_ACCESS,CLKB,MVP explicit electrical access for LVS-closed baseline,Mtg1_MN_G,29.7,2.345
1,ACTIVE_ACCESS,z1,MVP explicit electrical access for LVS-closed baseline,Mtg2_MN_S,30.77,2.0
1,ACTIVE_ACCESS,z3,MVP explicit electrical access for LVS-closed baseline,Mtg2_MN_D,31.63,2.0
1,POLY_ACCESS,CLK,MVP explicit electrical access for LVS-closed baseline,Mtg2_MN_G,31.2,2.345
1,ACTIVE_ACCESS,z5,MVP explicit electrical access for LVS-closed baseline,Mtg3_MN_S,32.27,2.0
1,ACTIVE_ACCESS,z4,MVP explicit electrical access for LVS-closed baseline,Mtg3_MN_D,33.13,2.0
1,POLY_ACCESS,CLK,MVP explicit electrical access for LVS-closed baseline,Mtg3_MN_G,32.7,2.345
1,ACTIVE_ACCESS,z5,MVP explicit electrical access for LVS-closed baseline,Mtg4_MN_S,33.77,2.0
1,ACTIVE_ACCESS,QB,MVP explicit electrical access for LVS-closed baseline,Mtg4_MN_D,34.63,2.0
1,POLY_ACCESS,CLKB,MVP explicit electrical access for LVS-closed baseline,Mtg4_MN_G,34.2,2.345
1,BODY_TIE,VDD,MVP explicit electrical access for LVS-closed baseline,body_tie_PMOS_VDD,0.09999999999999987,7.0
1,BODY_TIE,VSS,MVP explicit electrical access for LVS-closed baseline,body_tie_NMOS_VSS,18.099999999999998,2.0
