net_name,net_category,source_instance,source_pin,target_instance,target_pin,route_group,routing_status,uses_contract_pin,uses_approximate_geometry,shape_bbox,layer_hint,why_not_complete_gds,required_fix_stage,recommended_fix
BR[0],BITLINE,bitcell_array_inst,BR[0],write_driver_inst,bl/br,BITLINE,CONTRACT_PIN_BASED_ROUTE,True,False,"{'x0': 12.541475, 'y0': 8.05, 'x1': 12.666775, 'y1': 20.4, 'width': 0.1253, 'height': 12.35}",M3_bitline_vertical,Route terminates on contract pin ownership or prototype-only handoff instead of module pin geometry.,C2/C4,Resolve exact bitline landing cuts against hardmacro wrapper pins during R5 connectivity tightening.
BL[1],BITLINE,bitcell_array_inst,BL[1],precharge_inst,bl/br,BITLINE,CONTRACT_PIN_BASED_ROUTE,True,False,"{'x0': 13.123225, 'y0': 8.05, 'x1': 13.248525, 'y1': 20.4, 'width': 0.1253, 'height': 12.35}",M3_bitline_vertical,Route terminates on contract pin ownership or prototype-only handoff instead of module pin geometry.,C2/C4,Resolve exact bitline landing cuts against hardmacro wrapper pins during R5 connectivity tightening.
BL[1],BITLINE,bitcell_array_inst,BL[1],column_mux_inst,bl/br,BITLINE,CONTRACT_PIN_BASED_ROUTE,True,False,"{'x0': 13.123225, 'y0': 8.05, 'x1': 13.248525, 'y1': 20.4, 'width': 0.1253, 'height': 12.35}",M3_bitline_vertical,Route terminates on contract pin ownership or prototype-only handoff instead of module pin geometry.,C2/C4,Resolve exact bitline landing cuts against hardmacro wrapper pins during R5 connectivity tightening.
BL[1],BITLINE,bitcell_array_inst,BL[1],sense_amp_inst,bl/br,BITLINE,CONTRACT_PIN_BASED_ROUTE,True,False,"{'x0': 13.123225, 'y0': 8.05, 'x1': 13.248525, 'y1': 20.4, 'width': 0.1253, 'height': 12.35}",M3_bitline_vertical,Route terminates on contract pin ownership or prototype-only handoff instead of module pin geometry.,C2/C4,Resolve exact bitline landing cuts against hardmacro wrapper pins during R5 connectivity tightening.
BL[1],BITLINE,bitcell_array_inst,BL[1],write_driver_inst,bl/br,BITLINE,CONTRACT_PIN_BASED_ROUTE,True,False,"{'x0': 13.123225, 'y0': 8.05, 'x1': 13.248525, 'y1': 20.4, 'width': 0.1253, 'height': 12.35}",M3_bitline_vertical,Route terminates on contract pin ownership or prototype-only handoff instead of module pin geometry.,C2/C4,Resolve exact bitline landing cuts against hardmacro wrapper pins during R5 connectivity tightening.
BR[1],BITLINE,bitcell_array_inst,BR[1],precharge_inst,bl/br,BITLINE,CONTRACT_PIN_BASED_ROUTE,True,False,"{'x0': 13.436475, 'y0': 8.05, 'x1': 13.561775, 'y1': 20.4, 'width': 0.1253, 'height': 12.35}",M3_bitline_vertical,Route terminates on contract pin ownership or prototype-only handoff instead of module pin geometry.,C2/C4,Resolve exact bitline landing cuts against hardmacro wrapper pins during R5 connectivity tightening.
BR[1],BITLINE,bitcell_array_inst,BR[1],column_mux_inst,bl/br,BITLINE,CONTRACT_PIN_BASED_ROUTE,True,False,"{'x0': 13.436475, 'y0': 8.05, 'x1': 13.561775, 'y1': 20.4, 'width': 0.1253, 'height': 12.35}",M3_bitline_vertical,Route terminates on contract pin ownership or prototype-only handoff instead of module pin geometry.,C2/C4,Resolve exact bitline landing cuts against hardmacro wrapper pins during R5 connectivity tightening.
BR[1],BITLINE,bitcell_array_inst,BR[1],sense_amp_inst,bl/br,BITLINE,CONTRACT_PIN_BASED_ROUTE,True,False,"{'x0': 13.436475, 'y0': 8.05, 'x1': 13.561775, 'y1': 20.4, 'width': 0.1253, 'height': 12.35}",M3_bitline_vertical,Route terminates on contract pin ownership or prototype-only handoff instead of module pin geometry.,C2/C4,Resolve exact bitline landing cuts against hardmacro wrapper pins during R5 connectivity tightening.
BR[1],BITLINE,bitcell_array_inst,BR[1],write_driver_inst,bl/br,BITLINE,CONTRACT_PIN_BASED_ROUTE,True,False,"{'x0': 13.436475, 'y0': 8.05, 'x1': 13.561775, 'y1': 20.4, 'width': 0.1253, 'height': 12.35}",M3_bitline_vertical,Route terminates on contract pin ownership or prototype-only handoff instead of module pin geometry.,C2/C4,Resolve exact bitline landing cuts against hardmacro wrapper pins during R5 connectivity tightening.
BL[2],BITLINE,bitcell_array_inst,BL[2],precharge_inst,bl/br,BITLINE,CONTRACT_PIN_BASED_ROUTE,True,False,"{'x0': 14.018225, 'y0': 8.05, 'x1': 14.143525, 'y1': 20.4, 'width': 0.1253, 'height': 12.35}",M3_bitline_vertical,Route terminates on contract pin ownership or prototype-only handoff instead of module pin geometry.,C2/C4,Resolve exact bitline landing cuts against hardmacro wrapper pins during R5 connectivity tightening.
BL[2],BITLINE,bitcell_array_inst,BL[2],column_mux_inst,bl/br,BITLINE,CONTRACT_PIN_BASED_ROUTE,True,False,"{'x0': 14.018225, 'y0': 8.05, 'x1': 14.143525, 'y1': 20.4, 'width': 0.1253, 'height': 12.35}",M3_bitline_vertical,Route terminates on contract pin ownership or prototype-only handoff instead of module pin geometry.,C2/C4,Resolve exact bitline landing cuts against hardmacro wrapper pins during R5 connectivity tightening.
BL[2],BITLINE,bitcell_array_inst,BL[2],sense_amp_inst,bl/br,BITLINE,CONTRACT_PIN_BASED_ROUTE,True,False,"{'x0': 14.018225, 'y0': 8.05, 'x1': 14.143525, 'y1': 20.4, 'width': 0.1253, 'height': 12.35}",M3_bitline_vertical,Route terminates on contract pin ownership or prototype-only handoff instead of module pin geometry.,C2/C4,Resolve exact bitline landing cuts against hardmacro wrapper pins during R5 connectivity tightening.
BL[2],BITLINE,bitcell_array_inst,BL[2],write_driver_inst,bl/br,BITLINE,CONTRACT_PIN_BASED_ROUTE,True,False,"{'x0': 14.018225, 'y0': 8.05, 'x1': 14.143525, 'y1': 20.4, 'width': 0.1253, 'height': 12.35}",M3_bitline_vertical,Route terminates on contract pin ownership or prototype-only handoff instead of module pin geometry.,C2/C4,Resolve exact bitline landing cuts against hardmacro wrapper pins during R5 connectivity tightening.
BR[2],BITLINE,bitcell_array_inst,BR[2],precharge_inst,bl/br,BITLINE,CONTRACT_PIN_BASED_ROUTE,True,False,"{'x0': 14.331475, 'y0': 8.05, 'x1': 14.456775, 'y1': 20.4, 'width': 0.1253, 'height': 12.35}",M3_bitline_vertical,Route terminates on contract pin ownership or prototype-only handoff instead of module pin geometry.,C2/C4,Resolve exact bitline landing cuts against hardmacro wrapper pins during R5 connectivity tightening.
BR[2],BITLINE,bitcell_array_inst,BR[2],column_mux_inst,bl/br,BITLINE,CONTRACT_PIN_BASED_ROUTE,True,False,"{'x0': 14.331475, 'y0': 8.05, 'x1': 14.456775, 'y1': 20.4, 'width': 0.1253, 'height': 12.35}",M3_bitline_vertical,Route terminates on contract pin ownership or prototype-only handoff instead of module pin geometry.,C2/C4,Resolve exact bitline landing cuts against hardmacro wrapper pins during R5 connectivity tightening.
BR[2],BITLINE,bitcell_array_inst,BR[2],sense_amp_inst,bl/br,BITLINE,CONTRACT_PIN_BASED_ROUTE,True,False,"{'x0': 14.331475, 'y0': 8.05, 'x1': 14.456775, 'y1': 20.4, 'width': 0.1253, 'height': 12.35}",M3_bitline_vertical,Route terminates on contract pin ownership or prototype-only handoff instead of module pin geometry.,C2/C4,Resolve exact bitline landing cuts against hardmacro wrapper pins during R5 connectivity tightening.
BR[2],BITLINE,bitcell_array_inst,BR[2],write_driver_inst,bl/br,BITLINE,CONTRACT_PIN_BASED_ROUTE,True,False,"{'x0': 14.331475, 'y0': 8.05, 'x1': 14.456775, 'y1': 20.4, 'width': 0.1253, 'height': 12.35}",M3_bitline_vertical,Route terminates on contract pin ownership or prototype-only handoff instead of module pin geometry.,C2/C4,Resolve exact bitline landing cuts against hardmacro wrapper pins during R5 connectivity tightening.
BL[3],BITLINE,bitcell_array_inst,BL[3],precharge_inst,bl/br,BITLINE,CONTRACT_PIN_BASED_ROUTE,True,False,"{'x0': 14.913225, 'y0': 8.05, 'x1': 15.038525, 'y1': 20.4, 'width': 0.1253, 'height': 12.35}",M3_bitline_vertical,Route terminates on contract pin ownership or prototype-only handoff instead of module pin geometry.,C2/C4,Resolve exact bitline landing cuts against hardmacro wrapper pins during R5 connectivity tightening.
BL[3],BITLINE,bitcell_array_inst,BL[3],column_mux_inst,bl/br,BITLINE,CONTRACT_PIN_BASED_ROUTE,True,False,"{'x0': 14.913225, 'y0': 8.05, 'x1': 15.038525, 'y1': 20.4, 'width': 0.1253, 'height': 12.35}",M3_bitline_vertical,Route terminates on contract pin ownership or prototype-only handoff instead of module pin geometry.,C2/C4,Resolve exact bitline landing cuts against hardmacro wrapper pins during R5 connectivity tightening.
BL[3],BITLINE,bitcell_array_inst,BL[3],sense_amp_inst,bl/br,BITLINE,CONTRACT_PIN_BASED_ROUTE,True,False,"{'x0': 14.913225, 'y0': 8.05, 'x1': 15.038525, 'y1': 20.4, 'width': 0.1253, 'height': 12.35}",M3_bitline_vertical,Route terminates on contract pin ownership or prototype-only handoff instead of module pin geometry.,C2/C4,Resolve exact bitline landing cuts against hardmacro wrapper pins during R5 connectivity tightening.
BL[3],BITLINE,bitcell_array_inst,BL[3],write_driver_inst,bl/br,BITLINE,CONTRACT_PIN_BASED_ROUTE,True,False,"{'x0': 14.913225, 'y0': 8.05, 'x1': 15.038525, 'y1': 20.4, 'width': 0.1253, 'height': 12.35}",M3_bitline_vertical,Route terminates on contract pin ownership or prototype-only handoff instead of module pin geometry.,C2/C4,Resolve exact bitline landing cuts against hardmacro wrapper pins during R5 connectivity tightening.
BR[3],BITLINE,bitcell_array_inst,BR[3],precharge_inst,bl/br,BITLINE,CONTRACT_PIN_BASED_ROUTE,True,False,"{'x0': 15.226475, 'y0': 8.05, 'x1': 15.351775, 'y1': 20.4, 'width': 0.1253, 'height': 12.35}",M3_bitline_vertical,Route terminates on contract pin ownership or prototype-only handoff instead of module pin geometry.,C2/C4,Resolve exact bitline landing cuts against hardmacro wrapper pins during R5 connectivity tightening.
BR[3],BITLINE,bitcell_array_inst,BR[3],column_mux_inst,bl/br,BITLINE,CONTRACT_PIN_BASED_ROUTE,True,False,"{'x0': 15.226475, 'y0': 8.05, 'x1': 15.351775, 'y1': 20.4, 'width': 0.1253, 'height': 12.35}",M3_bitline_vertical,Route terminates on contract pin ownership or prototype-only handoff instead of module pin geometry.,C2/C4,Resolve exact bitline landing cuts against hardmacro wrapper pins during R5 connectivity tightening.
BR[3],BITLINE,bitcell_array_inst,BR[3],sense_amp_inst,bl/br,BITLINE,CONTRACT_PIN_BASED_ROUTE,True,False,"{'x0': 15.226475, 'y0': 8.05, 'x1': 15.351775, 'y1': 20.4, 'width': 0.1253, 'height': 12.35}",M3_bitline_vertical,Route terminates on contract pin ownership or prototype-only handoff instead of module pin geometry.,C2/C4,Resolve exact bitline landing cuts against hardmacro wrapper pins during R5 connectivity tightening.
BR[3],BITLINE,bitcell_array_inst,BR[3],write_driver_inst,bl/br,BITLINE,CONTRACT_PIN_BASED_ROUTE,True,False,"{'x0': 15.226475, 'y0': 8.05, 'x1': 15.351775, 'y1': 20.4, 'width': 0.1253, 'height': 12.35}",M3_bitline_vertical,Route terminates on contract pin ownership or prototype-only handoff instead of module pin geometry.,C2/C4,Resolve exact bitline landing cuts against hardmacro wrapper pins during R5 connectivity tightening.
precharge_en,CONTROL,CONTROL_LOGIC_inst,precharge_en,precharge_inst,precharge_en,CONTROL,CONTRACT_PIN_BASED_ROUTE,True,True,"{'x0': 12.3925, 'y0': 10.0075, 'x1': 24.6325, 'y1': 16.645, 'width': 12.24, 'height': 6.6375}",M4_control_spine,Route terminates on contract pin ownership or prototype-only handoff instead of module pin geometry.,C2/C4,Tighten control fanout and exact landing vias during R5 detailed connectivity review.
sense_en,CONTROL,CONTROL_LOGIC_inst,sense_en,sense_amp_inst,en,CONTROL,CONTRACT_PIN_BASED_ROUTE,True,True,"{'x0': 14.1775, 'y0': 10.0075, 'x1': 24.6325, 'y1': 18.94, 'width': 10.455, 'height': 8.9325}",M4_control_spine,Route terminates on contract pin ownership or prototype-only handoff instead of module pin geometry.,C2/C4,Tighten control fanout and exact landing vias during R5 detailed connectivity review.
write_en,CONTROL,CONTROL_LOGIC_inst,write_en,write_driver_inst,en,CONTROL,CONTRACT_PIN_BASED_ROUTE,True,True,"{'x0': 15.105, 'y0': 10.0075, 'x1': 24.6325, 'y1': 18.0225, 'width': 9.5275, 'height': 8.015}",M4_control_spine,Route terminates on contract pin ownership or prototype-only handoff instead of module pin geometry.,C2/C4,Tighten control fanout and exact landing vias during R5 detailed connectivity review.
wordline_en,CONTROL,CONTROL_LOGIC_inst,wl_en,wordline_driver_inst,B,CONTROL,CONTRACT_PIN_BASED_ROUTE,True,True,"{'x0': 2.3125, 'y0': 10.0075, 'x1': 24.6325, 'y1': 18.2525, 'width': 22.32, 'height': 8.245}",M4_control_spine,Route terminates on contract pin ownership or prototype-only handoff instead of module pin geometry.,C2/C4,Tighten control fanout and exact landing vias during R5 detailed connectivity review.
clk,CONTROL,CONTROL_LOGIC_inst,clk,DFF_ROW_inst,clk,CONTROL,CONTRACT_PIN_BASED_ROUTE,True,True,"{'x0': 24.6325, 'y0': 10.0075, 'x1': 31.1825, 'y1': 30.415, 'width': 6.55, 'height': 20.4075}",M4_control_spine,Route terminates on contract pin ownership or prototype-only handoff instead of module pin geometry.,C2/C4,Tighten control fanout and exact landing vias during R5 detailed connectivity review.
gated_clk,CONTROL,GATED_CLOCK_PATH_inst,gated_clk,DFF_ROW_inst,clk,CONTROL,CONTRACT_PIN_BASED_ROUTE,True,True,"{'x0': 22.92125, 'y0': 30.34, 'x1': 31.1825, 'y1': 30.415, 'width': 8.26125, 'height': 0.075}",M4_control_spine,Route terminates on contract pin ownership or prototype-only handoff instead of module pin geometry.,C2/C4,Tighten control fanout and exact landing vias during R5 detailed connectivity review.
rbl_delay,CONTROL,DELAY_CHAIN_inst,delay_out,replica_array_inst,RBL,CONTROL,CONTRACT_PIN_BASED_ROUTE,True,True,"{'x0': 12.895, 'y0': 9.1825, 'x1': 30.53, 'y1': 26.95875, 'width': 17.635, 'height': 17.77625}",M4_control_spine,Route terminates on contract pin ownership or prototype-only handoff instead of module pin geometry.,C2/C4,Tighten control fanout and exact landing vias during R5 detailed connectivity review.
