object,object_category,is_top_level_target,source_module_gds,module_gds_sanity_status,instantiated_in_top_gds,instance_name,origin,orientation,bbox,pins_available,rail_metadata_available,routing_handoff_available,power_handoff_available,uses_candidate_geometry,uses_contract_pins,assembly_status,blocking_gap,next_required_action,evidence_files
write_driver,hardmacro_wrapper,True,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/openyield_module_gds/write_driver/write_driver.gds,GDS_PARSED_SANITY_PASSED,True,write_driver_u0,"{""x"": 18.2325, ""y"": 11.71}",R0,"{""x0"": 18.2325, ""y0"": 11.71, ""x1"": 19.0725, ""y1"": 15.885, ""width"": 0.84, ""height"": 4.175}",True,True,True,True,False,False,L4_TOP_LEVEL_INSTANTIATED,,Keep detailed routing / rail verification in L5; do not claim DRC/LVS/timing closure in L4.,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/openyield_module_gds/write_driver/write_driver.gds;/data1/qujh/work/sram_layoutgen_step45_clean/outputs/openyield_module_gds/write_driver/pins.json;/data1/qujh/work/sram_layoutgen_step45_clean/outputs/openyield_module_gds/write_driver/rail_report.json;/data1/qujh/work/sram_layoutgen_step45_clean/outputs/openyield_module_gds/write_driver/generator_manifest.json
precharge,hardmacro_wrapper,True,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/openyield_module_gds/precharge/precharge.gds,GDS_PARSED_SANITY_PASSED,True,precharge_u0,"{""x"": 18.2325, ""y"": 0.0}",R0,"{""x0"": 18.2325, ""y0"": 0.0, ""x1"": 19.0175, ""y1"": 1.42, ""width"": 0.785, ""height"": 1.42}",True,True,True,True,False,True,L4_TOP_LEVEL_INSTANTIATED_WITH_CONTRACT_PINS,,Keep detailed routing / rail verification in L5; do not claim DRC/LVS/timing closure in L4.,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/openyield_module_gds/precharge/precharge.gds;/data1/qujh/work/sram_layoutgen_step45_clean/outputs/openyield_module_gds/precharge/pins.json;/data1/qujh/work/sram_layoutgen_step45_clean/outputs/openyield_module_gds/precharge/rail_report.json;/data1/qujh/work/sram_layoutgen_step45_clean/outputs/openyield_module_gds/precharge/generator_manifest.json
DELAY_CHAIN,composition_candidate,True,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/openyield_module_gds/DELAY_CHAIN/DELAY_CHAIN.gds,GDS_PARSED_SANITY_PASSED,True,DELAY_CHAIN_u0,"{""x"": 19.545, ""y"": 17.685}",R0,"{""x0"": 19.545, ""y0"": 17.685, ""x1"": 22.835, ""y1"": 20.27, ""width"": 3.29, ""height"": 2.585}",True,True,True,True,True,True,L4_TOP_LEVEL_INSTANTIATED_WITH_CANDIDATE_GEOMETRY,,Keep detailed routing / rail verification in L5; do not claim DRC/LVS/timing closure in L4.,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/openyield_module_gds/DELAY_CHAIN/DELAY_CHAIN.gds;/data1/qujh/work/sram_layoutgen_step45_clean/outputs/openyield_module_gds/DELAY_CHAIN/pins.json;/data1/qujh/work/sram_layoutgen_step45_clean/outputs/openyield_module_gds/DELAY_CHAIN/rail_report.json;/data1/qujh/work/sram_layoutgen_step45_clean/outputs/openyield_module_gds/DELAY_CHAIN/generator_manifest.json
PRECHARGE_ENABLE_PATH,control_candidate,True,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/openyield_module_gds/PRECHARGE_ENABLE_PATH/PRECHARGE_ENABLE_PATH.gds,GDS_PARSED_SANITY_PASSED,True,PRECHARGE_ENABLE_PATH_u0,"{""x"": 32.385, ""y"": 17.685}",R0,"{""x0"": 32.385, ""y0"": 17.685, ""x1"": 36.63, ""y1"": 21.75, ""width"": 4.245, ""height"": 4.065}",True,True,True,True,True,True,L4_TOP_LEVEL_INSTANTIATED_WITH_CANDIDATE_GEOMETRY,,Keep detailed routing / rail verification in L5; do not claim DRC/LVS/timing closure in L4.,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/openyield_module_gds/PRECHARGE_ENABLE_PATH/PRECHARGE_ENABLE_PATH.gds;/data1/qujh/work/sram_layoutgen_step45_clean/outputs/openyield_module_gds/PRECHARGE_ENABLE_PATH/pins.json;/data1/qujh/work/sram_layoutgen_step45_clean/outputs/openyield_module_gds/PRECHARGE_ENABLE_PATH/rail_report.json;/data1/qujh/work/sram_layoutgen_step45_clean/outputs/openyield_module_gds/PRECHARGE_ENABLE_PATH/generator_manifest.json
SENSE_ENABLE_PATH,control_candidate,True,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/openyield_module_gds/SENSE_ENABLE_PATH/SENSE_ENABLE_PATH.gds,GDS_PARSED_SANITY_PASSED,True,SENSE_ENABLE_PATH_u0,"{""x"": 37.63, ""y"": 17.685}",R0,"{""x0"": 37.63, ""y0"": 17.685, ""x1"": 41.0525, ""y1"": 25.26, ""width"": 3.4225, ""height"": 7.575}",True,True,True,True,True,True,L4_TOP_LEVEL_INSTANTIATED_WITH_CANDIDATE_GEOMETRY,,Keep detailed routing / rail verification in L5; do not claim DRC/LVS/timing closure in L4.,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/openyield_module_gds/SENSE_ENABLE_PATH/SENSE_ENABLE_PATH.gds;/data1/qujh/work/sram_layoutgen_step45_clean/outputs/openyield_module_gds/SENSE_ENABLE_PATH/pins.json;/data1/qujh/work/sram_layoutgen_step45_clean/outputs/openyield_module_gds/SENSE_ENABLE_PATH/rail_report.json;/data1/qujh/work/sram_layoutgen_step45_clean/outputs/openyield_module_gds/SENSE_ENABLE_PATH/generator_manifest.json
WRITE_ENABLE_PATH,control_candidate,True,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/openyield_module_gds/WRITE_ENABLE_PATH/WRITE_ENABLE_PATH.gds,GDS_PARSED_SANITY_PASSED,True,WRITE_ENABLE_PATH_u0,"{""x"": 42.0525, ""y"": 17.685}",R0,"{""x0"": 42.0525, ""y0"": 17.685, ""x1"": 43.715, ""y1"": 24.445, ""width"": 1.6625, ""height"": 6.76}",True,True,True,True,True,True,L4_TOP_LEVEL_INSTANTIATED_WITH_CANDIDATE_GEOMETRY,,Keep detailed routing / rail verification in L5; do not claim DRC/LVS/timing closure in L4.,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/openyield_module_gds/WRITE_ENABLE_PATH/WRITE_ENABLE_PATH.gds;/data1/qujh/work/sram_layoutgen_step45_clean/outputs/openyield_module_gds/WRITE_ENABLE_PATH/pins.json;/data1/qujh/work/sram_layoutgen_step45_clean/outputs/openyield_module_gds/WRITE_ENABLE_PATH/rail_report.json;/data1/qujh/work/sram_layoutgen_step45_clean/outputs/openyield_module_gds/WRITE_ENABLE_PATH/generator_manifest.json
WORDLINE_ENABLE_PATH,control_candidate,True,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/openyield_module_gds/WORDLINE_ENABLE_PATH/WORDLINE_ENABLE_PATH.gds,GDS_PARSED_SANITY_PASSED,True,WORDLINE_ENABLE_PATH_u0,"{""x"": 27.5175, ""y"": 17.685}",R0,"{""x0"": 27.5175, ""y0"": 17.685, ""x1"": 31.385, ""y1"": 20.755, ""width"": 3.8675, ""height"": 3.07}",True,True,True,True,True,True,L4_TOP_LEVEL_INSTANTIATED_WITH_CANDIDATE_GEOMETRY,,Keep detailed routing / rail verification in L5; do not claim DRC/LVS/timing closure in L4.,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/openyield_module_gds/WORDLINE_ENABLE_PATH/WORDLINE_ENABLE_PATH.gds;/data1/qujh/work/sram_layoutgen_step45_clean/outputs/openyield_module_gds/WORDLINE_ENABLE_PATH/pins.json;/data1/qujh/work/sram_layoutgen_step45_clean/outputs/openyield_module_gds/WORDLINE_ENABLE_PATH/rail_report.json;/data1/qujh/work/sram_layoutgen_step45_clean/outputs/openyield_module_gds/WORDLINE_ENABLE_PATH/generator_manifest.json
GATED_CLOCK_PATH,control_candidate,True,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/openyield_module_gds/GATED_CLOCK_PATH/GATED_CLOCK_PATH.gds,GDS_PARSED_SANITY_PASSED,True,GATED_CLOCK_PATH_u0,"{""x"": 23.835, ""y"": 17.685}",R0,"{""x0"": 23.835, ""y0"": 17.685, ""x1"": 26.5175, ""y1"": 20.645, ""width"": 2.6825, ""height"": 2.96}",True,True,True,True,True,True,L4_TOP_LEVEL_INSTANTIATED_WITH_CANDIDATE_GEOMETRY,,Keep detailed routing / rail verification in L5; do not claim DRC/LVS/timing closure in L4.,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/openyield_module_gds/GATED_CLOCK_PATH/GATED_CLOCK_PATH.gds;/data1/qujh/work/sram_layoutgen_step45_clean/outputs/openyield_module_gds/GATED_CLOCK_PATH/pins.json;/data1/qujh/work/sram_layoutgen_step45_clean/outputs/openyield_module_gds/GATED_CLOCK_PATH/rail_report.json;/data1/qujh/work/sram_layoutgen_step45_clean/outputs/openyield_module_gds/GATED_CLOCK_PATH/generator_manifest.json
DFF_ROW,control_candidate,True,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/openyield_module_gds/DFF_ROW/DFF_ROW.gds,GDS_PARSED_SANITY_PASSED,True,DFF_ROW_u0,"{""x"": 7.105, ""y"": 17.685}",R0,"{""x0"": 7.105, ""y0"": 17.685, ""x1"": 18.545, ""y1"": 20.355, ""width"": 11.44, ""height"": 2.67}",True,True,True,True,True,True,L4_TOP_LEVEL_INSTANTIATED_WITH_CANDIDATE_GEOMETRY,,Keep detailed routing / rail verification in L5; do not claim DRC/LVS/timing closure in L4.,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/openyield_module_gds/DFF_ROW/DFF_ROW.gds;/data1/qujh/work/sram_layoutgen_step45_clean/outputs/openyield_module_gds/DFF_ROW/pins.json;/data1/qujh/work/sram_layoutgen_step45_clean/outputs/openyield_module_gds/DFF_ROW/rail_report.json;/data1/qujh/work/sram_layoutgen_step45_clean/outputs/openyield_module_gds/DFF_ROW/generator_manifest.json
CONTROL_LOGIC,control_candidate,True,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/openyield_module_gds/CONTROL_LOGIC/CONTROL_LOGIC.gds,GDS_PARSED_SANITY_PASSED,True,CONTROL_LOGIC_u0,"{""x"": 0.0, ""y"": 17.685}",R0,"{""x0"": 0.0, ""y0"": 17.685, ""x1"": 6.105, ""y1"": 21.92, ""width"": 6.105, ""height"": 4.235}",True,True,True,True,True,True,L4_TOP_LEVEL_INSTANTIATED_WITH_CANDIDATE_GEOMETRY,,Keep detailed routing / rail verification in L5; do not claim DRC/LVS/timing closure in L4.,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/openyield_module_gds/CONTROL_LOGIC/CONTROL_LOGIC.gds;/data1/qujh/work/sram_layoutgen_step45_clean/outputs/openyield_module_gds/CONTROL_LOGIC/pins.json;/data1/qujh/work/sram_layoutgen_step45_clean/outputs/openyield_module_gds/CONTROL_LOGIC/rail_report.json;/data1/qujh/work/sram_layoutgen_step45_clean/outputs/openyield_module_gds/CONTROL_LOGIC/generator_manifest.json
SRAM_TOP,top_level_candidate,True,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/openyield_top_level_assembly/current_supported_config/openyield_top_level_candidate.gds,GDS_PARSED_SANITY_PASSED,True,openyield_top_level_candidate,"{""x"": 0.0, ""y"": 0.0}",R0,"{""x0"": 0.0, ""y0"": 0.0, ""x1"": 43.715, ""y1"": 25.26, ""width"": 43.715, ""height"": 25.26}",True,True,True,True,True,True,L4_TOP_LEVEL_INSTANTIATED_WITH_CONTRACT_PINS,,Enter L5 validation only after checking top-level routing and rail plans against downstream closure criteria.,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/openyield_top_level_assembly/current_supported_config/top_level_config.json;/data1/qujh/work/sram_layoutgen_step45_clean/outputs/openyield_top_level_assembly/current_supported_config/module_placement.json;/data1/qujh/work/sram_layoutgen_step45_clean/outputs/openyield_top_level_assembly/current_supported_config/top_level_pin_map.json;/data1/qujh/work/sram_layoutgen_step45_clean/outputs/openyield_top_level_assembly/current_supported_config/top_level_rail_stitch_plan.json;/data1/qujh/work/sram_layoutgen_step45_clean/outputs/openyield_top_level_assembly/current_supported_config/top_level_routing_handoff.json
BANK,bank_semantic_object,True,,GDS_PARSED_SANITY_PASSED,True,BANK_SYNTHETIC,"{""x"": 0.0, ""y"": 0.0}",R0,"{""x0"": 0.0, ""y0"": 0.0, ""x1"": 43.715, ""y1"": 25.26, ""width"": 43.715, ""height"": 25.26}",True,True,True,True,True,True,L4_TOP_LEVEL_INSTANTIATED_WITH_CONTRACT_PINS,,Treat BANK as a semantic wrapper around the single-bank L4 candidate; detailed internal routing verification stays in L5.,/data1/qujh/work/sram_layoutgen_step45_clean/docs/openyield_L4_top_level_assembly_report.json
routing_semantics,handoff_object,True,,,False,,,,,True,False,True,False,False,True,L4_TOP_LEVEL_DEFERRED_TO_L5_ROUTING,,Use top_level_routing_handoff.json in L5 to close detailed inter-module routing.,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/openyield_top_level_assembly/current_supported_config/top_level_routing_handoff.json
power_semantics,handoff_object,True,,,False,,,,,True,True,False,True,False,True,L4_TOP_LEVEL_DEFERRED_TO_L5_ROUTING,,Use top_level_rail_stitch_plan.json in L5 for rail verification and stitch closure.,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/openyield_top_level_assembly/current_supported_config/top_level_rail_stitch_plan.json
timing_semantics,handoff_object,True,,,False,,,,,True,False,True,False,False,True,L4_TOP_LEVEL_DEFERRED_TO_L5_ROUTING,,Carry the timing/control handoff metadata into L5 validation without claiming timing closure.,/data1/qujh/work/sram_layoutgen_step45_clean/docs/openyield_L4_top_level_assembly_report.json
