source_module,source_port_or_signal,target_module,target_port_or_signal,signal_name,signal_category,direction,is_power,is_clock,is_control,is_data,is_bitline,is_wordline,is_timing_path,evidence_source,confidence,unresolved_reason
SRAM_TOP,DIN[i],DFF_ROW,DIN[i],DIN[i],write_data,input_to_register,False,False,False,True,False,False,False,sram_compiler/subcircuits/time_generate.py:507-555;sram_compiler/testbenches/sram_6t_core_testbench.py:625-646,HIGH,
DFF_ROW,DIN_dff[i],write_driver,DIN,DIN_dff[i],write_data,registered_data_to_driver,False,False,False,True,False,False,False,sram_compiler/testbenches/sram_6t_core_testbench.py:612-623,HIGH,
CONTROL_LOGIC,w_en,write_driver,EN,w_en,control_enable,control_to_write,False,False,True,False,False,False,True,sram_compiler/subcircuits/time_generate.py:687-705;sram_compiler/testbenches/sram_6t_core_testbench.py:619,HIGH,
write_driver,BL/BLB,bitcell_array,BL[i]/BLB[i],BL[i];BLB[i],bitline,write_driver_to_array,False,False,False,True,True,False,False,sram_compiler/testbenches/sram_6t_core_testbench.py:613-623;978-982,HIGH,
replica_array,RBL/RBLB,DELAY_CHAIN,in,rbl,timing_sense,replica_to_delay,False,False,True,False,True,False,True,sram_compiler/subcircuits/time_generate.py:659-676;sram_compiler/testbenches/sram_6t_core_testbench.py:143-197,HIGH,
DELAY_CHAIN,out,SENSE_ENABLE_PATH,input,rbl_delay,timing_control,delay_to_sense_enable,False,False,True,False,False,False,True,sram_compiler/subcircuits/time_generate.py:705-720,HIGH,
DELAY_CHAIN,out_bar,WRITE_ENABLE_PATH,input,rbl_delay_bar,timing_control,delay_to_write_enable,False,False,True,False,False,False,True,sram_compiler/subcircuits/time_generate.py:666-705,HIGH,
CONTROL_LOGIC,PRE,precharge,ENB,PRE,control_enable,control_to_precharge,False,False,True,False,False,False,True,sram_compiler/subcircuits/time_generate.py:735-756;sram_compiler/testbenches/sram_6t_core_testbench.py:463-472,HIGH,
CONTROL_LOGIC,s_en,sense_amp,EN,s_en,control_enable,control_to_sense,False,False,True,False,False,False,True,sram_compiler/subcircuits/time_generate.py:705-720;sram_compiler/testbenches/sram_6t_core_testbench.py:573-587,HIGH,
CONTROL_LOGIC,clk_buf,DFF_ROW,CLK,clk_buf,clock,buffered_clock_to_dff,False,True,True,False,False,False,True,sram_compiler/subcircuits/time_generate.py:523-607,HIGH,
CONTROL_LOGIC,gated_clk_bar/gated_clk_buf,GATED_CLOCK_PATH,internal gates,gated_clk_bar;gated_clk_buf,clock_control,internal_clock_gating,False,True,True,False,False,False,True,sram_compiler/subcircuits/time_generate.py:608-639,HIGH,
CONTROL_LOGIC,wl_en,WORDLINE_ENABLE_PATH,derived output,wl_en,control_enable,internal_enable_generation,False,False,True,False,False,False,True,sram_compiler/subcircuits/time_generate.py:640-657,HIGH,
CONTROL_LOGIC,PRE,PRECHARGE_ENABLE_PATH,derived output,PRE,control_enable,internal_enable_generation,False,False,True,False,False,False,True,sram_compiler/subcircuits/time_generate.py:735-756,HIGH,
CONTROL_LOGIC,w_en,WRITE_ENABLE_PATH,derived output,w_en,control_enable,internal_enable_generation,False,False,True,False,False,False,True,sram_compiler/subcircuits/time_generate.py:687-705,HIGH,
CONTROL_LOGIC,s_en,SENSE_ENABLE_PATH,derived output,s_en,control_enable,internal_enable_generation,False,False,True,False,False,False,True,sram_compiler/subcircuits/time_generate.py:705-720,HIGH,
VDD/GND,VDD/VSS,all_modules,power pins,VDD;VSS,power,global_power_distribution,True,False,False,False,False,False,False,sram_compiler/subcircuits/base_subcircuit.py:10;sram_compiler/testbenches/sram_6t_core_testbench.py:861-863,HIGH,
