net_name,net_category,source_instance,source_pin,target_instance,target_pin,shape_type,shape_bbox,layer_hint,route_group,routing_status,uses_contract_pin,uses_approximate_geometry,required_for_lvs_later,next_required_action
BR[0],BITLINE,bitcell_array_inst,BR[0],sense_amp_inst,bl/br,route_segment,"{'x0': 12.541475, 'y0': 8.05, 'x1': 12.666775, 'y1': 20.4, 'width': 0.1253, 'height': 12.35}",M3_bitline_vertical,BITLINE,CONTRACT_PIN_BASED_ROUTE,True,False,True,Resolve exact bitline landing cuts against hardmacro wrapper pins during R5 connectivity tightening.
BR[0],BITLINE,bitcell_array_inst,BR[0],write_driver_inst,bl/br,route_segment,"{'x0': 12.541475, 'y0': 8.05, 'x1': 12.666775, 'y1': 20.4, 'width': 0.1253, 'height': 12.35}",M3_bitline_vertical,BITLINE,CONTRACT_PIN_BASED_ROUTE,True,False,True,Resolve exact bitline landing cuts against hardmacro wrapper pins during R5 connectivity tightening.
BL[1],BITLINE,bitcell_array_inst,BL[1],precharge_inst,bl/br,route_segment,"{'x0': 13.123225, 'y0': 8.05, 'x1': 13.248525, 'y1': 20.4, 'width': 0.1253, 'height': 12.35}",M3_bitline_vertical,BITLINE,CONTRACT_PIN_BASED_ROUTE,True,False,True,Resolve exact bitline landing cuts against hardmacro wrapper pins during R5 connectivity tightening.
BL[1],BITLINE,bitcell_array_inst,BL[1],column_mux_inst,bl/br,route_segment,"{'x0': 13.123225, 'y0': 8.05, 'x1': 13.248525, 'y1': 20.4, 'width': 0.1253, 'height': 12.35}",M3_bitline_vertical,BITLINE,CONTRACT_PIN_BASED_ROUTE,True,False,True,Resolve exact bitline landing cuts against hardmacro wrapper pins during R5 connectivity tightening.
BL[1],BITLINE,bitcell_array_inst,BL[1],sense_amp_inst,bl/br,route_segment,"{'x0': 13.123225, 'y0': 8.05, 'x1': 13.248525, 'y1': 20.4, 'width': 0.1253, 'height': 12.35}",M3_bitline_vertical,BITLINE,CONTRACT_PIN_BASED_ROUTE,True,False,True,Resolve exact bitline landing cuts against hardmacro wrapper pins during R5 connectivity tightening.
BL[1],BITLINE,bitcell_array_inst,BL[1],write_driver_inst,bl/br,route_segment,"{'x0': 13.123225, 'y0': 8.05, 'x1': 13.248525, 'y1': 20.4, 'width': 0.1253, 'height': 12.35}",M3_bitline_vertical,BITLINE,CONTRACT_PIN_BASED_ROUTE,True,False,True,Resolve exact bitline landing cuts against hardmacro wrapper pins during R5 connectivity tightening.
BR[1],BITLINE,bitcell_array_inst,BR[1],precharge_inst,bl/br,route_segment,"{'x0': 13.436475, 'y0': 8.05, 'x1': 13.561775, 'y1': 20.4, 'width': 0.1253, 'height': 12.35}",M3_bitline_vertical,BITLINE,CONTRACT_PIN_BASED_ROUTE,True,False,True,Resolve exact bitline landing cuts against hardmacro wrapper pins during R5 connectivity tightening.
BR[1],BITLINE,bitcell_array_inst,BR[1],column_mux_inst,bl/br,route_segment,"{'x0': 13.436475, 'y0': 8.05, 'x1': 13.561775, 'y1': 20.4, 'width': 0.1253, 'height': 12.35}",M3_bitline_vertical,BITLINE,CONTRACT_PIN_BASED_ROUTE,True,False,True,Resolve exact bitline landing cuts against hardmacro wrapper pins during R5 connectivity tightening.
BR[1],BITLINE,bitcell_array_inst,BR[1],sense_amp_inst,bl/br,route_segment,"{'x0': 13.436475, 'y0': 8.05, 'x1': 13.561775, 'y1': 20.4, 'width': 0.1253, 'height': 12.35}",M3_bitline_vertical,BITLINE,CONTRACT_PIN_BASED_ROUTE,True,False,True,Resolve exact bitline landing cuts against hardmacro wrapper pins during R5 connectivity tightening.
BR[1],BITLINE,bitcell_array_inst,BR[1],write_driver_inst,bl/br,route_segment,"{'x0': 13.436475, 'y0': 8.05, 'x1': 13.561775, 'y1': 20.4, 'width': 0.1253, 'height': 12.35}",M3_bitline_vertical,BITLINE,CONTRACT_PIN_BASED_ROUTE,True,False,True,Resolve exact bitline landing cuts against hardmacro wrapper pins during R5 connectivity tightening.
BL[2],BITLINE,bitcell_array_inst,BL[2],precharge_inst,bl/br,route_segment,"{'x0': 14.018225, 'y0': 8.05, 'x1': 14.143525, 'y1': 20.4, 'width': 0.1253, 'height': 12.35}",M3_bitline_vertical,BITLINE,CONTRACT_PIN_BASED_ROUTE,True,False,True,Resolve exact bitline landing cuts against hardmacro wrapper pins during R5 connectivity tightening.
BL[2],BITLINE,bitcell_array_inst,BL[2],column_mux_inst,bl/br,route_segment,"{'x0': 14.018225, 'y0': 8.05, 'x1': 14.143525, 'y1': 20.4, 'width': 0.1253, 'height': 12.35}",M3_bitline_vertical,BITLINE,CONTRACT_PIN_BASED_ROUTE,True,False,True,Resolve exact bitline landing cuts against hardmacro wrapper pins during R5 connectivity tightening.
BL[2],BITLINE,bitcell_array_inst,BL[2],sense_amp_inst,bl/br,route_segment,"{'x0': 14.018225, 'y0': 8.05, 'x1': 14.143525, 'y1': 20.4, 'width': 0.1253, 'height': 12.35}",M3_bitline_vertical,BITLINE,CONTRACT_PIN_BASED_ROUTE,True,False,True,Resolve exact bitline landing cuts against hardmacro wrapper pins during R5 connectivity tightening.
BL[2],BITLINE,bitcell_array_inst,BL[2],write_driver_inst,bl/br,route_segment,"{'x0': 14.018225, 'y0': 8.05, 'x1': 14.143525, 'y1': 20.4, 'width': 0.1253, 'height': 12.35}",M3_bitline_vertical,BITLINE,CONTRACT_PIN_BASED_ROUTE,True,False,True,Resolve exact bitline landing cuts against hardmacro wrapper pins during R5 connectivity tightening.
BR[2],BITLINE,bitcell_array_inst,BR[2],precharge_inst,bl/br,route_segment,"{'x0': 14.331475, 'y0': 8.05, 'x1': 14.456775, 'y1': 20.4, 'width': 0.1253, 'height': 12.35}",M3_bitline_vertical,BITLINE,CONTRACT_PIN_BASED_ROUTE,True,False,True,Resolve exact bitline landing cuts against hardmacro wrapper pins during R5 connectivity tightening.
BR[2],BITLINE,bitcell_array_inst,BR[2],column_mux_inst,bl/br,route_segment,"{'x0': 14.331475, 'y0': 8.05, 'x1': 14.456775, 'y1': 20.4, 'width': 0.1253, 'height': 12.35}",M3_bitline_vertical,BITLINE,CONTRACT_PIN_BASED_ROUTE,True,False,True,Resolve exact bitline landing cuts against hardmacro wrapper pins during R5 connectivity tightening.
BR[2],BITLINE,bitcell_array_inst,BR[2],sense_amp_inst,bl/br,route_segment,"{'x0': 14.331475, 'y0': 8.05, 'x1': 14.456775, 'y1': 20.4, 'width': 0.1253, 'height': 12.35}",M3_bitline_vertical,BITLINE,CONTRACT_PIN_BASED_ROUTE,True,False,True,Resolve exact bitline landing cuts against hardmacro wrapper pins during R5 connectivity tightening.
BR[2],BITLINE,bitcell_array_inst,BR[2],write_driver_inst,bl/br,route_segment,"{'x0': 14.331475, 'y0': 8.05, 'x1': 14.456775, 'y1': 20.4, 'width': 0.1253, 'height': 12.35}",M3_bitline_vertical,BITLINE,CONTRACT_PIN_BASED_ROUTE,True,False,True,Resolve exact bitline landing cuts against hardmacro wrapper pins during R5 connectivity tightening.
BL[3],BITLINE,bitcell_array_inst,BL[3],precharge_inst,bl/br,route_segment,"{'x0': 14.913225, 'y0': 8.05, 'x1': 15.038525, 'y1': 20.4, 'width': 0.1253, 'height': 12.35}",M3_bitline_vertical,BITLINE,CONTRACT_PIN_BASED_ROUTE,True,False,True,Resolve exact bitline landing cuts against hardmacro wrapper pins during R5 connectivity tightening.
BL[3],BITLINE,bitcell_array_inst,BL[3],column_mux_inst,bl/br,route_segment,"{'x0': 14.913225, 'y0': 8.05, 'x1': 15.038525, 'y1': 20.4, 'width': 0.1253, 'height': 12.35}",M3_bitline_vertical,BITLINE,CONTRACT_PIN_BASED_ROUTE,True,False,True,Resolve exact bitline landing cuts against hardmacro wrapper pins during R5 connectivity tightening.
BL[3],BITLINE,bitcell_array_inst,BL[3],sense_amp_inst,bl/br,route_segment,"{'x0': 14.913225, 'y0': 8.05, 'x1': 15.038525, 'y1': 20.4, 'width': 0.1253, 'height': 12.35}",M3_bitline_vertical,BITLINE,CONTRACT_PIN_BASED_ROUTE,True,False,True,Resolve exact bitline landing cuts against hardmacro wrapper pins during R5 connectivity tightening.
BL[3],BITLINE,bitcell_array_inst,BL[3],write_driver_inst,bl/br,route_segment,"{'x0': 14.913225, 'y0': 8.05, 'x1': 15.038525, 'y1': 20.4, 'width': 0.1253, 'height': 12.35}",M3_bitline_vertical,BITLINE,CONTRACT_PIN_BASED_ROUTE,True,False,True,Resolve exact bitline landing cuts against hardmacro wrapper pins during R5 connectivity tightening.
BR[3],BITLINE,bitcell_array_inst,BR[3],precharge_inst,bl/br,route_segment,"{'x0': 15.226475, 'y0': 8.05, 'x1': 15.351775, 'y1': 20.4, 'width': 0.1253, 'height': 12.35}",M3_bitline_vertical,BITLINE,CONTRACT_PIN_BASED_ROUTE,True,False,True,Resolve exact bitline landing cuts against hardmacro wrapper pins during R5 connectivity tightening.
BR[3],BITLINE,bitcell_array_inst,BR[3],column_mux_inst,bl/br,route_segment,"{'x0': 15.226475, 'y0': 8.05, 'x1': 15.351775, 'y1': 20.4, 'width': 0.1253, 'height': 12.35}",M3_bitline_vertical,BITLINE,CONTRACT_PIN_BASED_ROUTE,True,False,True,Resolve exact bitline landing cuts against hardmacro wrapper pins during R5 connectivity tightening.
BR[3],BITLINE,bitcell_array_inst,BR[3],sense_amp_inst,bl/br,route_segment,"{'x0': 15.226475, 'y0': 8.05, 'x1': 15.351775, 'y1': 20.4, 'width': 0.1253, 'height': 12.35}",M3_bitline_vertical,BITLINE,CONTRACT_PIN_BASED_ROUTE,True,False,True,Resolve exact bitline landing cuts against hardmacro wrapper pins during R5 connectivity tightening.
BR[3],BITLINE,bitcell_array_inst,BR[3],write_driver_inst,bl/br,route_segment,"{'x0': 15.226475, 'y0': 8.05, 'x1': 15.351775, 'y1': 20.4, 'width': 0.1253, 'height': 12.35}",M3_bitline_vertical,BITLINE,CONTRACT_PIN_BASED_ROUTE,True,False,True,Resolve exact bitline landing cuts against hardmacro wrapper pins during R5 connectivity tightening.
precharge_en,CONTROL,CONTROL_LOGIC_inst,precharge_en,precharge_inst,precharge_en,route_segment,"{'x0': 12.3925, 'y0': 10.0075, 'x1': 24.6325, 'y1': 16.645, 'width': 12.24, 'height': 6.6375}",M4_control_spine,CONTROL,CONTRACT_PIN_BASED_ROUTE,True,True,True,Tighten control fanout and exact landing vias during R5 detailed connectivity review.
sense_en,CONTROL,CONTROL_LOGIC_inst,sense_en,sense_amp_inst,en,route_segment,"{'x0': 14.1775, 'y0': 10.0075, 'x1': 24.6325, 'y1': 18.94, 'width': 10.455, 'height': 8.9325}",M4_control_spine,CONTROL,CONTRACT_PIN_BASED_ROUTE,True,True,True,Tighten control fanout and exact landing vias during R5 detailed connectivity review.
write_en,CONTROL,CONTROL_LOGIC_inst,write_en,write_driver_inst,en,route_segment,"{'x0': 15.105, 'y0': 10.0075, 'x1': 24.6325, 'y1': 18.0225, 'width': 9.5275, 'height': 8.015}",M4_control_spine,CONTROL,CONTRACT_PIN_BASED_ROUTE,True,True,True,Tighten control fanout and exact landing vias during R5 detailed connectivity review.
wordline_en,CONTROL,CONTROL_LOGIC_inst,wl_en,wordline_driver_inst,B,route_segment,"{'x0': 2.3125, 'y0': 10.0075, 'x1': 24.6325, 'y1': 18.2525, 'width': 22.32, 'height': 8.245}",M4_control_spine,CONTROL,CONTRACT_PIN_BASED_ROUTE,True,True,True,Tighten control fanout and exact landing vias during R5 detailed connectivity review.
clk,CONTROL,CONTROL_LOGIC_inst,clk,DFF_ROW_inst,clk,route_segment,"{'x0': 24.6325, 'y0': 10.0075, 'x1': 31.1825, 'y1': 30.415, 'width': 6.55, 'height': 20.4075}",M4_control_spine,CONTROL,CONTRACT_PIN_BASED_ROUTE,True,True,True,Tighten control fanout and exact landing vias during R5 detailed connectivity review.
gated_clk,CONTROL,GATED_CLOCK_PATH_inst,gated_clk,DFF_ROW_inst,clk,route_segment,"{'x0': 22.92125, 'y0': 30.34, 'x1': 31.1825, 'y1': 30.415, 'width': 8.26125, 'height': 0.075}",M4_control_spine,CONTROL,CONTRACT_PIN_BASED_ROUTE,True,True,True,Tighten control fanout and exact landing vias during R5 detailed connectivity review.
rbl_delay,CONTROL,DELAY_CHAIN_inst,delay_out,replica_array_inst,RBL,route_segment,"{'x0': 12.895, 'y0': 9.1825, 'x1': 30.53, 'y1': 26.95875, 'width': 17.635, 'height': 17.77625}",M4_control_spine,CONTROL,CONTRACT_PIN_BASED_ROUTE,True,True,True,Tighten control fanout and exact landing vias during R5 detailed connectivity review.
VDD,POWER,SRAM_TOP,VDD,bitcell_array;dummy_array;replica_array;row_decoder;wordline_decoder;decoder_gate_cells;wordline_driver;wordline_driver_gate_cells;precharge;column_mux;sense_amp;write_driver;CONTROL_LOGIC;DELAY_CHAIN;PRECHARGE_ENABLE_PATH;SENSE_ENABLE_PATH;WRITE_ENABLE_PATH;WORDLINE_ENABLE_PATH;GATED_CLOCK_PATH;DFF_ROW,VDD,power_segment,"{'x0': 0.79, 'y0': 32.23, 'x1': 37.9025, 'y1': 32.58, 'width': 37.1125, 'height': 0.35}",M5_power_strap,POWER,APPROXIMATE_POWER_GEOMETRY_FOR_R4,True,True,True,Promote top-level straps into explicit per-instance rail taps for R5 power continuity review.
GND,GROUND,SRAM_TOP,GND,bitcell_array;dummy_array;replica_array;row_decoder;wordline_decoder;decoder_gate_cells;wordline_driver;wordline_driver_gate_cells;precharge;column_mux;sense_amp;write_driver;CONTROL_LOGIC;DELAY_CHAIN;PRECHARGE_ENABLE_PATH;SENSE_ENABLE_PATH;WRITE_ENABLE_PATH;WORDLINE_ENABLE_PATH;GATED_CLOCK_PATH;DFF_ROW,GND,power_segment,"{'x0': 0.79, 'y0': 6.35, 'x1': 37.9025, 'y1': 6.7, 'width': 37.1125, 'height': 0.35}",M5_power_strap,POWER,APPROXIMATE_POWER_GEOMETRY_FOR_R4,True,True,True,Promote top-level straps into explicit per-instance rail taps for R5 power continuity review.
VDD,POWER,SRAM_TOP,VDD,bitcell_array;dummy_array;replica_array,VDD,power_segment,"{'x0': 12.0, 'y0': 14.14, 'x1': 15.58, 'y1': 14.26, 'width': 3.58, 'height': 0.12}",M4_region_rail,POWER,CONTRACT_RAIL_BASED_STITCH,True,True,True,Replace contract-backed rail stitch with exact abutment proof and via ladders in R5.
GND,GROUND,SRAM_TOP,GND,bitcell_array;dummy_array;replica_array,GND,power_segment,"{'x0': 12.0, 'y0': 13.94, 'x1': 15.58, 'y1': 14.06, 'width': 3.58, 'height': 0.12}",M4_region_rail,POWER,CONTRACT_RAIL_BASED_STITCH,True,True,True,Replace contract-backed rail stitch with exact abutment proof and via ladders in R5.
VDD,POWER,SRAM_TOP,VDD,row_decoder;wordline_decoder;decoder_gate_cells;wordline_driver;wordline_driver_gate_cells,VDD,power_segment,"{'x0': 0.79, 'y0': 23.36, 'x1': 6.0725, 'y1': 23.48, 'width': 5.2825, 'height': 0.12}",M4_region_rail,POWER,CONTRACT_RAIL_BASED_STITCH,True,True,True,Replace contract-backed rail stitch with exact abutment proof and via ladders in R5.
GND,GROUND,SRAM_TOP,GND,row_decoder;wordline_decoder;decoder_gate_cells;wordline_driver;wordline_driver_gate_cells,GND,power_segment,"{'x0': 0.79, 'y0': 23.16, 'x1': 6.0725, 'y1': 23.28, 'width': 5.2825, 'height': 0.12}",M4_region_rail,POWER,CONTRACT_RAIL_BASED_STITCH,True,True,True,Replace contract-backed rail stitch with exact abutment proof and via ladders in R5.
VDD,POWER,SRAM_TOP,VDD,precharge;column_mux;sense_amp;write_driver,VDD,power_segment,"{'x0': 12.0, 'y0': 21.715, 'x1': 15.525, 'y1': 21.835, 'width': 3.525, 'height': 0.12}",M4_region_rail,POWER,CONTRACT_RAIL_BASED_STITCH,True,True,True,Replace contract-backed rail stitch with exact abutment proof and via ladders in R5.
GND,GROUND,SRAM_TOP,GND,precharge;column_mux;sense_amp;write_driver,GND,power_segment,"{'x0': 12.0, 'y0': 21.515, 'x1': 15.525, 'y1': 21.635, 'width': 3.525, 'height': 0.12}",M4_region_rail,POWER,CONTRACT_RAIL_BASED_STITCH,True,True,True,Replace contract-backed rail stitch with exact abutment proof and via ladders in R5.
VDD,POWER,SRAM_TOP,VDD,CONTROL_LOGIC;DELAY_CHAIN;PRECHARGE_ENABLE_PATH;SENSE_ENABLE_PATH;WRITE_ENABLE_PATH;WORDLINE_ENABLE_PATH;GATED_CLOCK_PATH;DFF_ROW,VDD,power_segment,"{'x0': 21.58, 'y0': 31.81, 'x1': 36.9025, 'y1': 31.93, 'width': 15.3225, 'height': 0.12}",M4_region_rail,POWER,CONTRACT_RAIL_BASED_STITCH,True,True,True,Replace contract-backed rail stitch with exact abutment proof and via ladders in R5.
GND,GROUND,SRAM_TOP,GND,CONTROL_LOGIC;DELAY_CHAIN;PRECHARGE_ENABLE_PATH;SENSE_ENABLE_PATH;WRITE_ENABLE_PATH;WORDLINE_ENABLE_PATH;GATED_CLOCK_PATH;DFF_ROW,GND,power_segment,"{'x0': 21.58, 'y0': 31.61, 'x1': 36.9025, 'y1': 31.73, 'width': 15.3225, 'height': 0.12}",M4_region_rail,POWER,CONTRACT_RAIL_BASED_STITCH,True,True,True,Replace contract-backed rail stitch with exact abutment proof and via ladders in R5.
A[0],ADDRESS,SRAM_TOP,A[0],TOP_PIN,A[0],top_pin,"{'x0': -1.61, 'y0': 7.7, 'x1': -1.01, 'y1': 8.0, 'width': 0.6, 'height': 0.3}",M4_pin,TOP_PIN,GEOMETRY_PIN_EXPORTED_FOR_R4,False,False,True,Refine pin metal enclosure and LEF-compatible obstruction context during R5 export preparation.
A[1],ADDRESS,SRAM_TOP,A[1],TOP_PIN,A[1],top_pin,"{'x0': -1.61, 'y0': 8.4, 'x1': -1.01, 'y1': 8.7, 'width': 0.6, 'height': 0.3}",M4_pin,TOP_PIN,GEOMETRY_PIN_EXPORTED_FOR_R4,False,False,True,Refine pin metal enclosure and LEF-compatible obstruction context during R5 export preparation.
A[2],ADDRESS,SRAM_TOP,A[2],TOP_PIN,A[2],top_pin,"{'x0': -1.61, 'y0': 9.1, 'x1': -1.01, 'y1': 9.4, 'width': 0.6, 'height': 0.3}",M4_pin,TOP_PIN,GEOMETRY_PIN_EXPORTED_FOR_R4,False,False,True,Refine pin metal enclosure and LEF-compatible obstruction context during R5 export preparation.
A[3],ADDRESS,SRAM_TOP,A[3],TOP_PIN,A[3],top_pin,"{'x0': -1.61, 'y0': 9.8, 'x1': -1.01, 'y1': 10.1, 'width': 0.6, 'height': 0.3}",M4_pin,TOP_PIN,GEOMETRY_PIN_EXPORTED_FOR_R4,False,False,True,Refine pin metal enclosure and LEF-compatible obstruction context during R5 export preparation.
DIN[0],DATA_IN,SRAM_TOP,DIN[0],TOP_PIN,DIN[0],top_pin,"{'x0': -1.61, 'y0': 11.0, 'x1': -1.01, 'y1': 11.3, 'width': 0.6, 'height': 0.3}",M4_pin,TOP_PIN,GEOMETRY_PIN_EXPORTED_FOR_R4,False,False,True,Refine pin metal enclosure and LEF-compatible obstruction context during R5 export preparation.
DOUT[0],DATA_OUT,SRAM_TOP,DOUT[0],TOP_PIN,DOUT[0],top_pin,"{'x0': 38.3025, 'y0': 11.0, 'x1': 38.9025, 'y1': 11.3, 'width': 0.6, 'height': 0.3}",M4_pin,TOP_PIN,GEOMETRY_PIN_EXPORTED_FOR_R4,False,False,True,Refine pin metal enclosure and LEF-compatible obstruction context during R5 export preparation.
DIN[1],DATA_IN,SRAM_TOP,DIN[1],TOP_PIN,DIN[1],top_pin,"{'x0': -1.61, 'y0': 11.7, 'x1': -1.01, 'y1': 12.0, 'width': 0.6, 'height': 0.3}",M4_pin,TOP_PIN,GEOMETRY_PIN_EXPORTED_FOR_R4,False,False,True,Refine pin metal enclosure and LEF-compatible obstruction context during R5 export preparation.
DOUT[1],DATA_OUT,SRAM_TOP,DOUT[1],TOP_PIN,DOUT[1],top_pin,"{'x0': 38.3025, 'y0': 11.7, 'x1': 38.9025, 'y1': 12.0, 'width': 0.6, 'height': 0.3}",M4_pin,TOP_PIN,GEOMETRY_PIN_EXPORTED_FOR_R4,False,False,True,Refine pin metal enclosure and LEF-compatible obstruction context during R5 export preparation.
DIN[2],DATA_IN,SRAM_TOP,DIN[2],TOP_PIN,DIN[2],top_pin,"{'x0': -1.61, 'y0': 12.4, 'x1': -1.01, 'y1': 12.7, 'width': 0.6, 'height': 0.3}",M4_pin,TOP_PIN,GEOMETRY_PIN_EXPORTED_FOR_R4,False,False,True,Refine pin metal enclosure and LEF-compatible obstruction context during R5 export preparation.
DOUT[2],DATA_OUT,SRAM_TOP,DOUT[2],TOP_PIN,DOUT[2],top_pin,"{'x0': 38.3025, 'y0': 12.4, 'x1': 38.9025, 'y1': 12.7, 'width': 0.6, 'height': 0.3}",M4_pin,TOP_PIN,GEOMETRY_PIN_EXPORTED_FOR_R4,False,False,True,Refine pin metal enclosure and LEF-compatible obstruction context during R5 export preparation.
DIN[3],DATA_IN,SRAM_TOP,DIN[3],TOP_PIN,DIN[3],top_pin,"{'x0': -1.61, 'y0': 13.1, 'x1': -1.01, 'y1': 13.4, 'width': 0.6, 'height': 0.3}",M4_pin,TOP_PIN,GEOMETRY_PIN_EXPORTED_FOR_R4,False,False,True,Refine pin metal enclosure and LEF-compatible obstruction context during R5 export preparation.
DOUT[3],DATA_OUT,SRAM_TOP,DOUT[3],TOP_PIN,DOUT[3],top_pin,"{'x0': 38.3025, 'y0': 13.1, 'x1': 38.9025, 'y1': 13.4, 'width': 0.6, 'height': 0.3}",M4_pin,TOP_PIN,GEOMETRY_PIN_EXPORTED_FOR_R4,False,False,True,Refine pin metal enclosure and LEF-compatible obstruction context during R5 export preparation.
clk,CLOCK_CONTROL,SRAM_TOP,clk,TOP_PIN,clk,top_pin,"{'x0': 1.59, 'y0': 32.93, 'x1': 2.14, 'y1': 33.28, 'width': 0.55, 'height': 0.35}",M5_pin,TOP_PIN,GEOMETRY_PIN_EXPORTED_FOR_R4,False,False,True,Refine pin metal enclosure and LEF-compatible obstruction context during R5 export preparation.
csb,CLOCK_CONTROL,SRAM_TOP,csb,TOP_PIN,csb,top_pin,"{'x0': 2.49, 'y0': 32.93, 'x1': 3.04, 'y1': 33.28, 'width': 0.55, 'height': 0.35}",M5_pin,TOP_PIN,GEOMETRY_PIN_EXPORTED_FOR_R4,False,False,True,Refine pin metal enclosure and LEF-compatible obstruction context during R5 export preparation.
web,CLOCK_CONTROL,SRAM_TOP,web,TOP_PIN,web,top_pin,"{'x0': 3.39, 'y0': 32.93, 'x1': 3.94, 'y1': 33.28, 'width': 0.55, 'height': 0.35}",M5_pin,TOP_PIN,GEOMETRY_PIN_EXPORTED_FOR_R4,False,False,True,Refine pin metal enclosure and LEF-compatible obstruction context during R5 export preparation.
VDD,POWER,SRAM_TOP,VDD,TOP_PIN,VDD,top_pin,"{'x0': 0.79, 'y0': 33.73, 'x1': 1.79, 'y1': 34.08, 'width': 1.0, 'height': 0.35}",M5_pin,TOP_PIN,GEOMETRY_PIN_EXPORTED_FOR_R4,False,False,True,Refine pin metal enclosure and LEF-compatible obstruction context during R5 export preparation.
GND,GROUND,SRAM_TOP,GND,TOP_PIN,GND,top_pin,"{'x0': 0.79, 'y0': 5.8, 'x1': 1.79, 'y1': 6.15, 'width': 1.0, 'height': 0.35}",M5_pin,TOP_PIN,GEOMETRY_PIN_EXPORTED_FOR_R4,False,False,True,Refine pin metal enclosure and LEF-compatible obstruction context during R5 export preparation.
