openyield_module,physical_role,first_round_module_gds,layoutgen_primary_generator,layoutgen_generator_or_binding,layoutgen_generator_source_file,candidate_real_module_gds_source,binding_status,can_reuse_first_round_module_directly,must_regenerate_in_M2,binding_gap,next_required_action
decoder_gate_cells,ROW_DECODER,outputs/openyield_module_gds/decoder_gate_cells/decoder_gate_cells.gds,StandaloneSRAMGenerator,RowBasedCandidateGenerator,sram_layoutgen/standalone.py,NOT_FOUND,CANDIDATE_ROW_COMPOSITE_NEEDS_LAYOUTGEN_REGEN,False,True,Replace row candidate composite with layoutgen-owned real row/periphery generation.,Use this binding as M2 regeneration input after human review.
dummy_array,ARRAY_DUMMY,outputs/openyield_module_gds/dummy_array/dummy_array.gds,StandaloneSRAMGenerator,ArrayAggregationPlanner,sram_layoutgen/standalone.py,technology/freepdk45/gds_lib/dummy_cell_1rw.gds,REAL_ARRAY_BASE_REUSABLE,True,False,,Use this binding as M2 regeneration input after human review.
precharge,COLUMN_PRECHARGE,outputs/openyield_module_gds/precharge/precharge.gds,ModuleGDSGenerators,HardmacroWrapperGenerator,sram_layoutgen/openyield_adapter/module_gds_generators.py,technology/freepdk45/gds_lib/openram_replacements/gen_precharge.gds,REAL_HARDMACRO_WRAPPER_REUSABLE,True,False,,Use this binding as M2 regeneration input after human review.
replica_array,ARRAY_REPLICA,outputs/openyield_module_gds/replica_array/replica_array.gds,StandaloneSRAMGenerator,ArrayAggregationPlanner,sram_layoutgen/standalone.py,technology/freepdk45/gds_lib/replica_cell_1rw.gds,REAL_ARRAY_BASE_REUSABLE_WITH_REPLICA_RULES,True,False,,Use this binding as M2 regeneration input after human review.
row_decoder,ROW_DECODER,outputs/openyield_module_gds/row_decoder/row_decoder.gds,StandaloneSRAMGenerator,RowBasedCandidateGenerator,sram_layoutgen/standalone.py,NOT_FOUND,CANDIDATE_ROW_COMPOSITE_NEEDS_LAYOUTGEN_REGEN,False,True,Replace row candidate composite with layoutgen-owned real row/periphery generation.,Use this binding as M2 regeneration input after human review.
sense_amp,SENSE_AMP,outputs/openyield_module_gds/sense_amp/sense_amp.gds,StandaloneSRAMGenerator,HardmacroWrapperGenerator,sram_layoutgen/standalone.py,technology/freepdk45/gds_lib/sense_amp.gds,REAL_HARDMACRO_WRAPPER_REUSABLE,True,False,,Use this binding as M2 regeneration input after human review.
wordline_decoder,ROW_DECODER,outputs/openyield_module_gds/wordline_decoder/wordline_decoder.gds,StandaloneSRAMGenerator,RowBasedCandidateGenerator,sram_layoutgen/standalone.py,NOT_FOUND,CANDIDATE_ROW_COMPOSITE_NEEDS_LAYOUTGEN_REGEN,False,True,Replace row candidate composite with layoutgen-owned real row/periphery generation.,Use this binding as M2 regeneration input after human review.
wordline_driver,WORDLINE_DRIVER,outputs/openyield_module_gds/wordline_driver/wordline_driver.gds,StandaloneSRAMGenerator,HardmacroWrapperGenerator,sram_layoutgen/standalone.py,technology/freepdk45/gds_lib/openram_replacements/gen_wl_driver.gds,REAL_HARDMACRO_WRAPPER_REUSABLE,True,False,,Use this binding as M2 regeneration input after human review.
wordline_driver_gate_cells,WORDLINE_DRIVER,outputs/openyield_module_gds/wordline_driver_gate_cells/wordline_driver_gate_cells.gds,StandaloneSRAMGenerator,RowBasedCandidateGenerator,sram_layoutgen/standalone.py,NOT_FOUND,CANDIDATE_ROW_COMPOSITE_NEEDS_LAYOUTGEN_REGEN,False,True,Replace row candidate composite with layoutgen-owned real row/periphery generation.,Use this binding as M2 regeneration input after human review.
write_driver,WRITE_DRIVER,outputs/openyield_module_gds/write_driver/write_driver.gds,StandaloneSRAMGenerator,HardmacroWrapperGenerator,sram_layoutgen/standalone.py,technology/freepdk45/gds_lib/write_driver.gds,REAL_HARDMACRO_WRAPPER_REUSABLE,True,False,,Use this binding as M2 regeneration input after human review.
