logical_module,candidate_cell_name,candidate_gds_path,expected_pin_names,candidate_pin_names,pin_set_match,pin_order_mappable,pin_polygon_or_boundary_evidence,pin_layer_known,internal_label_promoted_to_pin,qualification_note
PINV4,wordline_driver_gate_cells,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/openyield_module_gds/wordline_driver_gate_cells/wordline_driver_gate_cells.gds,VDD|VSS|A|Z,DEC_WL[*]|GND|VDD|WL_local[*]|wl_en,False,False,True,True,False,no exact pin-proof for primitive leaf reuse
PINV_wl_en_bar,wordline_driver_gate_cells,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/openyield_module_gds/wordline_driver_gate_cells/wordline_driver_gate_cells.gds,VDD|VSS|A|Z,DEC_WL[*]|GND|VDD|WL_local[*]|wl_en,False,False,True,True,False,no exact pin-proof for primitive leaf reuse
PMOS_VTG,,,,,False,False,False,False,False,no exact pin-proof for primitive leaf reuse
PNAND2,wordline_driver_gate_cells,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/openyield_module_gds/wordline_driver_gate_cells/wordline_driver_gate_cells.gds,VDD|VSS|A|B|Z,DEC_WL[*]|GND|VDD|WL_local[*]|wl_en,False,False,True,True,False,no exact pin-proof for primitive leaf reuse
PNAND3,decoder_gate_cells,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/openyield_module_gds/decoder_gate_cells/decoder_gate_cells.gds,VDD|VSS|A|B|C|Z,A[*]|GND|VDD|dec_stage[*]|enable,False,False,True,True,False,no exact pin-proof for primitive leaf reuse
TIME,CONTROL_LOGIC,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/openyield_module_gds/CONTROL_LOGIC/CONTROL_LOGIC.gds,VDD|VSS|clk|csb|web|clk_buf|clk_bar|cs_bar|cs|we_bar|we|gated_clk_bar|gated_clk_buf|wl_en|A0|A1|A2|A3|A_dff0|A_dff1|A_dff2|A_dff3|DIN0|DIN1|DIN2|DIN3|DIN4|DIN5|DIN6|DIN7|DIN8|DIN9|DIN10|DIN11|DIN12|DIN13|DIN14|DIN15|DIN_dff0|DIN_dff1|DIN_dff2|DIN_dff3|DIN_dff4|DIN_dff5|DIN_dff6|DIN_dff7|DIN_dff8|DIN_dff9|DIN_dff10|DIN_dff11|DIN_dff12|DIN_dff13|DIN_dff14|DIN_dff15|rbl|rbl_delay|rbl_delay_bar|s_en|w_en|PRE,A[*]|GND|VDD|clk|cs|gated_clk|precharge_en|sense_en|we|wl_en|write_en,True,True,True,True,False,no exact pin-proof for primitive leaf reuse
TRANSMISSION_GATE,,,VDD|VSS|IN|OUT|CTR_P|CTR_N,,False,False,False,False,False,no exact pin-proof for primitive leaf reuse
delay_chain,DELAY_CHAIN,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/openyield_module_gds/DELAY_CHAIN/DELAY_CHAIN.gds,VDD|VSS|in|out,GND|VDD|delay_ctl|delay_in|delay_out,False,False,True,True,False,no exact pin-proof for primitive leaf reuse
pdrive,GATED_CLOCK_PATH,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/openyield_module_gds/GATED_CLOCK_PATH/GATED_CLOCK_PATH.gds,VDD|VSS|A|Z,GND|VDD|clk|gate|gated_clk,False,False,True,True,False,no exact pin-proof for primitive leaf reuse
pdrive2_for_pre,PRECHARGE_ENABLE_PATH,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/openyield_module_gds/PRECHARGE_ENABLE_PATH/PRECHARGE_ENABLE_PATH.gds,VDD|VSS|A|Z,GND|VDD|clk|cs|precharge_en,False,False,True,True,False,no exact pin-proof for primitive leaf reuse
wl_pdrive,WORDLINE_ENABLE_PATH,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/openyield_module_gds/WORDLINE_ENABLE_PATH/WORDLINE_ENABLE_PATH.gds,VDD|VSS|A|Z,GND|VDD|clk|cs|wl_en,False,False,True,True,False,no exact pin-proof for primitive leaf reuse
