candidate,pnand2_orientation,pinv_orientation,gap_policy,boundary_drc,vdd_vss_relation,signal_connection,pin_access,foreign_net,formal_replacement_allowed,exploration_classification
PNAND2_MX__PINV_R180__zero_gap,MX,R180,zero_gap,NOT_RUN_THIS_ROUND,REQUIRES_FINAL_GDS_PAIR_TEST,NAND_OUT_TO_INV_IN_DIRECT_ROUTE_REQUIRED,REQUIRES_FINAL_GDS_PAIR_TEST,REQUIRES_FINAL_GDS_PAIR_TEST,False,CANDIDATE_SPEC_ONLY
PNAND2_MX__PINV_R180__minimum_drc_gap,MX,R180,minimum_drc_gap,NOT_RUN_THIS_ROUND,REQUIRES_FINAL_GDS_PAIR_TEST,NAND_OUT_TO_INV_IN_DIRECT_ROUTE_REQUIRED,REQUIRES_FINAL_GDS_PAIR_TEST,REQUIRES_FINAL_GDS_PAIR_TEST,False,NEXT_RUN_ABUTMENT_TEST_REQUIRED
PNAND2_MX__PINV_R180__power_channel_gap,MX,R180,power_channel_gap,NOT_RUN_THIS_ROUND,REQUIRES_FINAL_GDS_PAIR_TEST,NAND_OUT_TO_INV_IN_DIRECT_ROUTE_REQUIRED,REQUIRES_FINAL_GDS_PAIR_TEST,REQUIRES_FINAL_GDS_PAIR_TEST,False,NEXT_RUN_ABUTMENT_TEST_REQUIRED
PNAND2_MY__PINV_R0__zero_gap,MY,R0,zero_gap,NOT_RUN_THIS_ROUND,REQUIRES_FINAL_GDS_PAIR_TEST,NAND_OUT_TO_INV_IN_DIRECT_ROUTE_REQUIRED,REQUIRES_FINAL_GDS_PAIR_TEST,REQUIRES_FINAL_GDS_PAIR_TEST,False,CANDIDATE_SPEC_ONLY
PNAND2_MY__PINV_R0__minimum_drc_gap,MY,R0,minimum_drc_gap,NOT_RUN_THIS_ROUND,REQUIRES_FINAL_GDS_PAIR_TEST,NAND_OUT_TO_INV_IN_DIRECT_ROUTE_REQUIRED,REQUIRES_FINAL_GDS_PAIR_TEST,REQUIRES_FINAL_GDS_PAIR_TEST,False,NEXT_RUN_ABUTMENT_TEST_REQUIRED
PNAND2_MY__PINV_R0__power_channel_gap,MY,R0,power_channel_gap,NOT_RUN_THIS_ROUND,REQUIRES_FINAL_GDS_PAIR_TEST,NAND_OUT_TO_INV_IN_DIRECT_ROUTE_REQUIRED,REQUIRES_FINAL_GDS_PAIR_TEST,REQUIRES_FINAL_GDS_PAIR_TEST,False,NEXT_RUN_ABUTMENT_TEST_REQUIRED
PNAND2_MY__PINV_MX__zero_gap,MY,MX,zero_gap,NOT_RUN_THIS_ROUND,REQUIRES_FINAL_GDS_PAIR_TEST,NAND_OUT_TO_INV_IN_DIRECT_ROUTE_REQUIRED,REQUIRES_FINAL_GDS_PAIR_TEST,REQUIRES_FINAL_GDS_PAIR_TEST,False,CANDIDATE_SPEC_ONLY
PNAND2_MY__PINV_MX__minimum_drc_gap,MY,MX,minimum_drc_gap,NOT_RUN_THIS_ROUND,REQUIRES_FINAL_GDS_PAIR_TEST,NAND_OUT_TO_INV_IN_DIRECT_ROUTE_REQUIRED,REQUIRES_FINAL_GDS_PAIR_TEST,REQUIRES_FINAL_GDS_PAIR_TEST,False,NEXT_RUN_ABUTMENT_TEST_REQUIRED
PNAND2_MY__PINV_MX__power_channel_gap,MY,MX,power_channel_gap,NOT_RUN_THIS_ROUND,REQUIRES_FINAL_GDS_PAIR_TEST,NAND_OUT_TO_INV_IN_DIRECT_ROUTE_REQUIRED,REQUIRES_FINAL_GDS_PAIR_TEST,REQUIRES_FINAL_GDS_PAIR_TEST,False,NEXT_RUN_ABUTMENT_TEST_REQUIRED
PNAND2_MY__PINV_MY__zero_gap,MY,MY,zero_gap,NOT_RUN_THIS_ROUND,REQUIRES_FINAL_GDS_PAIR_TEST,NAND_OUT_TO_INV_IN_DIRECT_ROUTE_REQUIRED,REQUIRES_FINAL_GDS_PAIR_TEST,REQUIRES_FINAL_GDS_PAIR_TEST,False,CANDIDATE_SPEC_ONLY
PNAND2_MY__PINV_MY__minimum_drc_gap,MY,MY,minimum_drc_gap,NOT_RUN_THIS_ROUND,REQUIRES_FINAL_GDS_PAIR_TEST,NAND_OUT_TO_INV_IN_DIRECT_ROUTE_REQUIRED,REQUIRES_FINAL_GDS_PAIR_TEST,REQUIRES_FINAL_GDS_PAIR_TEST,False,NEXT_RUN_ABUTMENT_TEST_REQUIRED
PNAND2_MY__PINV_MY__power_channel_gap,MY,MY,power_channel_gap,NOT_RUN_THIS_ROUND,REQUIRES_FINAL_GDS_PAIR_TEST,NAND_OUT_TO_INV_IN_DIRECT_ROUTE_REQUIRED,REQUIRES_FINAL_GDS_PAIR_TEST,REQUIRES_FINAL_GDS_PAIR_TEST,False,NEXT_RUN_ABUTMENT_TEST_REQUIRED
PNAND2_MY__PINV_R180__zero_gap,MY,R180,zero_gap,NOT_RUN_THIS_ROUND,REQUIRES_FINAL_GDS_PAIR_TEST,NAND_OUT_TO_INV_IN_DIRECT_ROUTE_REQUIRED,REQUIRES_FINAL_GDS_PAIR_TEST,REQUIRES_FINAL_GDS_PAIR_TEST,False,CANDIDATE_SPEC_ONLY
PNAND2_MY__PINV_R180__minimum_drc_gap,MY,R180,minimum_drc_gap,NOT_RUN_THIS_ROUND,REQUIRES_FINAL_GDS_PAIR_TEST,NAND_OUT_TO_INV_IN_DIRECT_ROUTE_REQUIRED,REQUIRES_FINAL_GDS_PAIR_TEST,REQUIRES_FINAL_GDS_PAIR_TEST,False,NEXT_RUN_ABUTMENT_TEST_REQUIRED
PNAND2_MY__PINV_R180__power_channel_gap,MY,R180,power_channel_gap,NOT_RUN_THIS_ROUND,REQUIRES_FINAL_GDS_PAIR_TEST,NAND_OUT_TO_INV_IN_DIRECT_ROUTE_REQUIRED,REQUIRES_FINAL_GDS_PAIR_TEST,REQUIRES_FINAL_GDS_PAIR_TEST,False,NEXT_RUN_ABUTMENT_TEST_REQUIRED
PNAND2_R180__PINV_R0__zero_gap,R180,R0,zero_gap,NOT_RUN_THIS_ROUND,REQUIRES_FINAL_GDS_PAIR_TEST,NAND_OUT_TO_INV_IN_DIRECT_ROUTE_REQUIRED,REQUIRES_FINAL_GDS_PAIR_TEST,REQUIRES_FINAL_GDS_PAIR_TEST,False,CANDIDATE_SPEC_ONLY
PNAND2_R180__PINV_R0__minimum_drc_gap,R180,R0,minimum_drc_gap,NOT_RUN_THIS_ROUND,REQUIRES_FINAL_GDS_PAIR_TEST,NAND_OUT_TO_INV_IN_DIRECT_ROUTE_REQUIRED,REQUIRES_FINAL_GDS_PAIR_TEST,REQUIRES_FINAL_GDS_PAIR_TEST,False,NEXT_RUN_ABUTMENT_TEST_REQUIRED
PNAND2_R180__PINV_R0__power_channel_gap,R180,R0,power_channel_gap,NOT_RUN_THIS_ROUND,REQUIRES_FINAL_GDS_PAIR_TEST,NAND_OUT_TO_INV_IN_DIRECT_ROUTE_REQUIRED,REQUIRES_FINAL_GDS_PAIR_TEST,REQUIRES_FINAL_GDS_PAIR_TEST,False,NEXT_RUN_ABUTMENT_TEST_REQUIRED
PNAND2_R180__PINV_MX__zero_gap,R180,MX,zero_gap,NOT_RUN_THIS_ROUND,REQUIRES_FINAL_GDS_PAIR_TEST,NAND_OUT_TO_INV_IN_DIRECT_ROUTE_REQUIRED,REQUIRES_FINAL_GDS_PAIR_TEST,REQUIRES_FINAL_GDS_PAIR_TEST,False,CANDIDATE_SPEC_ONLY
PNAND2_R180__PINV_MX__minimum_drc_gap,R180,MX,minimum_drc_gap,NOT_RUN_THIS_ROUND,REQUIRES_FINAL_GDS_PAIR_TEST,NAND_OUT_TO_INV_IN_DIRECT_ROUTE_REQUIRED,REQUIRES_FINAL_GDS_PAIR_TEST,REQUIRES_FINAL_GDS_PAIR_TEST,False,NEXT_RUN_ABUTMENT_TEST_REQUIRED
PNAND2_R180__PINV_MX__power_channel_gap,R180,MX,power_channel_gap,NOT_RUN_THIS_ROUND,REQUIRES_FINAL_GDS_PAIR_TEST,NAND_OUT_TO_INV_IN_DIRECT_ROUTE_REQUIRED,REQUIRES_FINAL_GDS_PAIR_TEST,REQUIRES_FINAL_GDS_PAIR_TEST,False,NEXT_RUN_ABUTMENT_TEST_REQUIRED
PNAND2_R180__PINV_MY__zero_gap,R180,MY,zero_gap,NOT_RUN_THIS_ROUND,REQUIRES_FINAL_GDS_PAIR_TEST,NAND_OUT_TO_INV_IN_DIRECT_ROUTE_REQUIRED,REQUIRES_FINAL_GDS_PAIR_TEST,REQUIRES_FINAL_GDS_PAIR_TEST,False,CANDIDATE_SPEC_ONLY
PNAND2_R180__PINV_MY__minimum_drc_gap,R180,MY,minimum_drc_gap,NOT_RUN_THIS_ROUND,REQUIRES_FINAL_GDS_PAIR_TEST,NAND_OUT_TO_INV_IN_DIRECT_ROUTE_REQUIRED,REQUIRES_FINAL_GDS_PAIR_TEST,REQUIRES_FINAL_GDS_PAIR_TEST,False,NEXT_RUN_ABUTMENT_TEST_REQUIRED
PNAND2_R180__PINV_MY__power_channel_gap,R180,MY,power_channel_gap,NOT_RUN_THIS_ROUND,REQUIRES_FINAL_GDS_PAIR_TEST,NAND_OUT_TO_INV_IN_DIRECT_ROUTE_REQUIRED,REQUIRES_FINAL_GDS_PAIR_TEST,REQUIRES_FINAL_GDS_PAIR_TEST,False,NEXT_RUN_ABUTMENT_TEST_REQUIRED
PNAND2_R180__PINV_R180__zero_gap,R180,R180,zero_gap,NOT_RUN_THIS_ROUND,REQUIRES_FINAL_GDS_PAIR_TEST,NAND_OUT_TO_INV_IN_DIRECT_ROUTE_REQUIRED,REQUIRES_FINAL_GDS_PAIR_TEST,REQUIRES_FINAL_GDS_PAIR_TEST,False,CANDIDATE_SPEC_ONLY
PNAND2_R180__PINV_R180__minimum_drc_gap,R180,R180,minimum_drc_gap,NOT_RUN_THIS_ROUND,REQUIRES_FINAL_GDS_PAIR_TEST,NAND_OUT_TO_INV_IN_DIRECT_ROUTE_REQUIRED,REQUIRES_FINAL_GDS_PAIR_TEST,REQUIRES_FINAL_GDS_PAIR_TEST,False,NEXT_RUN_ABUTMENT_TEST_REQUIRED
PNAND2_R180__PINV_R180__power_channel_gap,R180,R180,power_channel_gap,NOT_RUN_THIS_ROUND,REQUIRES_FINAL_GDS_PAIR_TEST,NAND_OUT_TO_INV_IN_DIRECT_ROUTE_REQUIRED,REQUIRES_FINAL_GDS_PAIR_TEST,REQUIRES_FINAL_GDS_PAIR_TEST,False,NEXT_RUN_ABUTMENT_TEST_REQUIRED
