M1,M2,M3,VIA1,VIA2,access_id,alternative_local_route,can_collapse,contact,net,terminal,why_required
True,False,False,False,False,175,same-row duplicate terminals now share one row trunk handoff where legal,False,True,z2,contact,gate poly contact
True,True,False,True,False,177,same-row duplicate terminals now share one row trunk handoff where legal,False,False,z2,via1,gate M1-to-M2
False,True,True,False,True,181,same-row duplicate terminals now share one row trunk handoff where legal,True,False,z2,via2,deduplicated row trunk access
True,False,False,False,False,185,same-row duplicate terminals now share one row trunk handoff where legal,False,True,z2,contact,gate poly contact
True,True,False,True,False,187,same-row duplicate terminals now share one row trunk handoff where legal,False,False,z2,via1,gate M1-to-M2
True,False,False,False,False,193,same-row duplicate terminals now share one row trunk handoff where legal,False,True,CLK,contact,gate poly contact
True,True,False,True,False,195,same-row duplicate terminals now share one row trunk handoff where legal,False,False,CLK,via1,gate M1-to-M2
True,False,False,False,False,201,same-row duplicate terminals now share one row trunk handoff where legal,False,True,CLKB,contact,gate poly contact
True,True,False,True,False,203,same-row duplicate terminals now share one row trunk handoff where legal,False,False,CLKB,via1,gate M1-to-M2
True,False,False,False,False,209,same-row duplicate terminals now share one row trunk handoff where legal,False,True,D,contact,gate poly contact
True,True,False,True,False,211,same-row duplicate terminals now share one row trunk handoff where legal,False,False,D,via1,gate M1-to-M2
False,True,True,False,True,215,same-row duplicate terminals now share one row trunk handoff where legal,True,False,D,via2,deduplicated row trunk access
True,False,False,False,False,219,same-row duplicate terminals now share one row trunk handoff where legal,False,True,z1,contact,gate poly contact
True,True,False,True,False,221,same-row duplicate terminals now share one row trunk handoff where legal,False,False,z1,via1,gate M1-to-M2
False,True,True,False,True,225,same-row duplicate terminals now share one row trunk handoff where legal,True,False,z1,via2,deduplicated row trunk access
True,False,False,False,False,229,same-row duplicate terminals now share one row trunk handoff where legal,False,True,CLK,contact,gate poly contact
True,True,False,True,False,231,same-row duplicate terminals now share one row trunk handoff where legal,False,False,CLK,via1,gate M1-to-M2
True,True,False,True,False,244,same-row duplicate terminals now share one row trunk handoff where legal,False,False,Q,via1,S/D ownership bridge
False,True,True,False,True,248,same-row duplicate terminals now share one row trunk handoff where legal,False,False,Q,via2,S/D ownership bridge
True,True,False,True,False,250,same-row duplicate terminals now share one row trunk handoff where legal,False,False,z5,via1,S/D ownership bridge
False,True,True,False,True,254,same-row duplicate terminals now share one row trunk handoff where legal,False,False,z5,via2,S/D ownership bridge
True,True,False,True,False,256,same-row duplicate terminals now share one row trunk handoff where legal,False,False,z1,via1,S/D ownership bridge
False,True,True,False,True,260,same-row duplicate terminals now share one row trunk handoff where legal,False,False,z1,via2,S/D ownership bridge
True,True,False,True,False,262,same-row duplicate terminals now share one row trunk handoff where legal,False,False,z2,via1,S/D ownership bridge
False,True,True,False,True,266,same-row duplicate terminals now share one row trunk handoff where legal,False,False,z2,via2,S/D ownership bridge
True,True,False,True,False,268,same-row duplicate terminals now share one row trunk handoff where legal,False,False,CLKB,via1,S/D ownership bridge
False,True,True,False,True,272,same-row duplicate terminals now share one row trunk handoff where legal,False,False,CLKB,via2,S/D ownership bridge
