bank,architecture,bit,pin,array_x,array_y,bank_x,bank_y,translated_bank_x,x_translation,delta_x,delta_y,manhattan,required_layer_transition,required_fanout_track
precharge,single_row,5,BR,6.39,13.2075,5.1275,0.72,5.975,0.8475,-0.415,-12.4875,12.9025,TOP_LEVEL_GLOBAL_ROUTE_PENDING,NUMERIC_ALIGNMENT_RECORDED
precharge,single_row,6,BL,6.76,13.2075,5.615,0.72,6.4625,0.8475,-0.2975,-12.4875,12.785,TOP_LEVEL_GLOBAL_ROUTE_PENDING,NUMERIC_ALIGNMENT_RECORDED
precharge,single_row,6,BR,7.095,13.2075,6.04,0.72,6.8875,0.8475,-0.2075,-12.4875,12.695,TOP_LEVEL_GLOBAL_ROUTE_PENDING,NUMERIC_ALIGNMENT_RECORDED
precharge,single_row,7,BL,7.465,13.2075,6.5275,0.72,7.375,0.8475,-0.09,-12.4875,12.5775,TOP_LEVEL_GLOBAL_ROUTE_PENDING,NUMERIC_ALIGNMENT_RECORDED
precharge,single_row,7,BR,7.8,13.2075,6.9525,0.72,7.8,0.8475,0.0,-12.4875,12.4875,TOP_LEVEL_GLOBAL_ROUTE_PENDING,NUMERIC_ALIGNMENT_RECORDED
precharge,single_row,8,BL,8.17,13.2075,7.44,0.72,8.2875,0.8475,0.1175,-12.4875,12.605,TOP_LEVEL_GLOBAL_ROUTE_PENDING,NUMERIC_ALIGNMENT_RECORDED
precharge,single_row,8,BR,8.505,13.2075,7.865,0.72,8.7125,0.8475,0.2075,-12.4875,12.695,TOP_LEVEL_GLOBAL_ROUTE_PENDING,NUMERIC_ALIGNMENT_RECORDED
precharge,single_row,9,BL,8.875,13.2075,8.3525,0.72,9.2,0.8475,0.325,-12.4875,12.8125,TOP_LEVEL_GLOBAL_ROUTE_PENDING,NUMERIC_ALIGNMENT_RECORDED
precharge,single_row,9,BR,9.21,13.2075,8.7775,0.72,9.625,0.8475,0.415,-12.4875,12.9025,TOP_LEVEL_GLOBAL_ROUTE_PENDING,NUMERIC_ALIGNMENT_RECORDED
precharge,single_row,10,BL,9.58,13.2075,9.265,0.72,10.1125,0.8475,0.5325,-12.4875,13.02,TOP_LEVEL_GLOBAL_ROUTE_PENDING,NUMERIC_ALIGNMENT_RECORDED
precharge,single_row,10,BR,9.915,13.2075,9.69,0.72,10.5375,0.8475,0.6225,-12.4875,13.11,TOP_LEVEL_GLOBAL_ROUTE_PENDING,NUMERIC_ALIGNMENT_RECORDED
precharge,single_row,11,BL,10.285,13.2075,10.1775,0.72,11.025,0.8475,0.74,-12.4875,13.2275,TOP_LEVEL_GLOBAL_ROUTE_PENDING,NUMERIC_ALIGNMENT_RECORDED
precharge,single_row,11,BR,10.62,13.2075,10.6025,0.72,11.45,0.8475,0.83,-12.4875,13.3175,TOP_LEVEL_GLOBAL_ROUTE_PENDING,NUMERIC_ALIGNMENT_RECORDED
precharge,single_row,12,BL,10.99,13.2075,11.09,0.72,11.9375,0.8475,0.9475,-12.4875,13.435,TOP_LEVEL_GLOBAL_ROUTE_PENDING,NUMERIC_ALIGNMENT_RECORDED
precharge,single_row,12,BR,11.325,13.2075,11.515,0.72,12.3625,0.8475,1.0375,-12.4875,13.525,TOP_LEVEL_GLOBAL_ROUTE_PENDING,NUMERIC_ALIGNMENT_RECORDED
precharge,single_row,13,BL,11.695,13.2075,12.0025,0.72,12.85,0.8475,1.155,-12.4875,13.6425,TOP_LEVEL_GLOBAL_ROUTE_PENDING,NUMERIC_ALIGNMENT_RECORDED
precharge,single_row,13,BR,12.03,13.2075,12.4275,0.72,13.275,0.8475,1.245,-12.4875,13.7325,TOP_LEVEL_GLOBAL_ROUTE_PENDING,NUMERIC_ALIGNMENT_RECORDED
precharge,single_row,14,BL,12.4,13.2075,12.915,0.72,13.7625,0.8475,1.3625,-12.4875,13.85,TOP_LEVEL_GLOBAL_ROUTE_PENDING,NUMERIC_ALIGNMENT_RECORDED
precharge,single_row,14,BR,12.735,13.2075,13.34,0.72,14.1875,0.8475,1.4525,-12.4875,13.94,TOP_LEVEL_GLOBAL_ROUTE_PENDING,NUMERIC_ALIGNMENT_RECORDED
precharge,single_row,15,BL,13.105,13.2075,13.8275,0.72,14.675,0.8475,1.57,-12.4875,14.0575,TOP_LEVEL_GLOBAL_ROUTE_PENDING,NUMERIC_ALIGNMENT_RECORDED
precharge,single_row,15,BR,13.44,13.2075,14.2525,0.72,15.1,0.8475,1.66,-12.4875,14.1475,TOP_LEVEL_GLOBAL_ROUTE_PENDING,NUMERIC_ALIGNMENT_RECORDED
precharge,even_odd_2row,0,BL,2.53,13.2075,0.14,0.72,2.53,2.39,-0.0,-12.4875,12.4875,TOP_LEVEL_GLOBAL_ROUTE_PENDING,NUMERIC_ALIGNMENT_RECORDED
precharge,even_odd_2row,0,BR,2.865,13.2075,0.565,0.72,2.955,2.39,0.09,-12.4875,12.5775,TOP_LEVEL_GLOBAL_ROUTE_PENDING,NUMERIC_ALIGNMENT_RECORDED
precharge,even_odd_2row,1,BL,3.235,13.2075,0.845,4.11,3.235,2.39,-0.0,-9.0975,9.0975,TOP_LEVEL_GLOBAL_ROUTE_PENDING,NUMERIC_ALIGNMENT_RECORDED
precharge,even_odd_2row,1,BR,3.57,13.2075,1.27,4.11,3.66,2.39,0.09,-9.0975,9.1875,TOP_LEVEL_GLOBAL_ROUTE_PENDING,NUMERIC_ALIGNMENT_RECORDED
precharge,even_odd_2row,2,BL,3.94,13.2075,1.55,0.72,3.94,2.39,-0.0,-12.4875,12.4875,TOP_LEVEL_GLOBAL_ROUTE_PENDING,NUMERIC_ALIGNMENT_RECORDED
precharge,even_odd_2row,2,BR,4.275,13.2075,1.975,0.72,4.365,2.39,0.09,-12.4875,12.5775,TOP_LEVEL_GLOBAL_ROUTE_PENDING,NUMERIC_ALIGNMENT_RECORDED
precharge,even_odd_2row,3,BL,4.645,13.2075,2.255,4.11,4.645,2.39,0.0,-9.0975,9.0975,TOP_LEVEL_GLOBAL_ROUTE_PENDING,NUMERIC_ALIGNMENT_RECORDED
precharge,even_odd_2row,3,BR,4.98,13.2075,2.68,4.11,5.07,2.39,0.09,-9.0975,9.1875,TOP_LEVEL_GLOBAL_ROUTE_PENDING,NUMERIC_ALIGNMENT_RECORDED
precharge,even_odd_2row,4,BL,5.35,13.2075,2.96,0.72,5.35,2.39,0.0,-12.4875,12.4875,TOP_LEVEL_GLOBAL_ROUTE_PENDING,NUMERIC_ALIGNMENT_RECORDED
precharge,even_odd_2row,4,BR,5.685,13.2075,3.385,0.72,5.775,2.39,0.09,-12.4875,12.5775,TOP_LEVEL_GLOBAL_ROUTE_PENDING,NUMERIC_ALIGNMENT_RECORDED
precharge,even_odd_2row,5,BL,6.055,13.2075,3.665,4.11,6.055,2.39,0.0,-9.0975,9.0975,TOP_LEVEL_GLOBAL_ROUTE_PENDING,NUMERIC_ALIGNMENT_RECORDED
precharge,even_odd_2row,5,BR,6.39,13.2075,4.09,4.11,6.48,2.39,0.09,-9.0975,9.1875,TOP_LEVEL_GLOBAL_ROUTE_PENDING,NUMERIC_ALIGNMENT_RECORDED
precharge,even_odd_2row,6,BL,6.76,13.2075,4.37,0.72,6.76,2.39,0.0,-12.4875,12.4875,TOP_LEVEL_GLOBAL_ROUTE_PENDING,NUMERIC_ALIGNMENT_RECORDED
precharge,even_odd_2row,6,BR,7.095,13.2075,4.795,0.72,7.185,2.39,0.09,-12.4875,12.5775,TOP_LEVEL_GLOBAL_ROUTE_PENDING,NUMERIC_ALIGNMENT_RECORDED
precharge,even_odd_2row,7,BL,7.465,13.2075,5.075,4.11,7.465,2.39,0.0,-9.0975,9.0975,TOP_LEVEL_GLOBAL_ROUTE_PENDING,NUMERIC_ALIGNMENT_RECORDED
precharge,even_odd_2row,7,BR,7.8,13.2075,5.5,4.11,7.89,2.39,0.09,-9.0975,9.1875,TOP_LEVEL_GLOBAL_ROUTE_PENDING,NUMERIC_ALIGNMENT_RECORDED
precharge,even_odd_2row,8,BL,8.17,13.2075,5.78,0.72,8.17,2.39,0.0,-12.4875,12.4875,TOP_LEVEL_GLOBAL_ROUTE_PENDING,NUMERIC_ALIGNMENT_RECORDED
precharge,even_odd_2row,8,BR,8.505,13.2075,6.205,0.72,8.595,2.39,0.09,-12.4875,12.5775,TOP_LEVEL_GLOBAL_ROUTE_PENDING,NUMERIC_ALIGNMENT_RECORDED
precharge,even_odd_2row,9,BL,8.875,13.2075,6.485,4.11,8.875,2.39,0.0,-9.0975,9.0975,TOP_LEVEL_GLOBAL_ROUTE_PENDING,NUMERIC_ALIGNMENT_RECORDED
precharge,even_odd_2row,9,BR,9.21,13.2075,6.91,4.11,9.3,2.39,0.09,-9.0975,9.1875,TOP_LEVEL_GLOBAL_ROUTE_PENDING,NUMERIC_ALIGNMENT_RECORDED
precharge,even_odd_2row,10,BL,9.58,13.2075,7.19,0.72,9.58,2.39,0.0,-12.4875,12.4875,TOP_LEVEL_GLOBAL_ROUTE_PENDING,NUMERIC_ALIGNMENT_RECORDED
precharge,even_odd_2row,10,BR,9.915,13.2075,7.615,0.72,10.005,2.39,0.09,-12.4875,12.5775,TOP_LEVEL_GLOBAL_ROUTE_PENDING,NUMERIC_ALIGNMENT_RECORDED
precharge,even_odd_2row,11,BL,10.285,13.2075,7.895,4.11,10.285,2.39,0.0,-9.0975,9.0975,TOP_LEVEL_GLOBAL_ROUTE_PENDING,NUMERIC_ALIGNMENT_RECORDED
precharge,even_odd_2row,11,BR,10.62,13.2075,8.32,4.11,10.71,2.39,0.09,-9.0975,9.1875,TOP_LEVEL_GLOBAL_ROUTE_PENDING,NUMERIC_ALIGNMENT_RECORDED
precharge,even_odd_2row,12,BL,10.99,13.2075,8.6,0.72,10.99,2.39,-0.0,-12.4875,12.4875,TOP_LEVEL_GLOBAL_ROUTE_PENDING,NUMERIC_ALIGNMENT_RECORDED
precharge,even_odd_2row,12,BR,11.325,13.2075,9.025,0.72,11.415,2.39,0.09,-12.4875,12.5775,TOP_LEVEL_GLOBAL_ROUTE_PENDING,NUMERIC_ALIGNMENT_RECORDED
precharge,even_odd_2row,13,BL,11.695,13.2075,9.305,4.11,11.695,2.39,0.0,-9.0975,9.0975,TOP_LEVEL_GLOBAL_ROUTE_PENDING,NUMERIC_ALIGNMENT_RECORDED
precharge,even_odd_2row,13,BR,12.03,13.2075,9.73,4.11,12.12,2.39,0.09,-9.0975,9.1875,TOP_LEVEL_GLOBAL_ROUTE_PENDING,NUMERIC_ALIGNMENT_RECORDED
precharge,even_odd_2row,14,BL,12.4,13.2075,10.01,0.72,12.4,2.39,-0.0,-12.4875,12.4875,TOP_LEVEL_GLOBAL_ROUTE_PENDING,NUMERIC_ALIGNMENT_RECORDED
precharge,even_odd_2row,14,BR,12.735,13.2075,10.435,0.72,12.825,2.39,0.09,-12.4875,12.5775,TOP_LEVEL_GLOBAL_ROUTE_PENDING,NUMERIC_ALIGNMENT_RECORDED
precharge,even_odd_2row,15,BL,13.105,13.2075,10.715,4.11,13.105,2.39,0.0,-9.0975,9.0975,TOP_LEVEL_GLOBAL_ROUTE_PENDING,NUMERIC_ALIGNMENT_RECORDED
precharge,even_odd_2row,15,BR,13.44,13.2075,11.14,4.11,13.53,2.39,0.09,-9.0975,9.1875,TOP_LEVEL_GLOBAL_ROUTE_PENDING,NUMERIC_ALIGNMENT_RECORDED
precharge,folded_4row,0,BL,2.53,13.2075,0.14,0.72,3.85,3.71,1.32,-12.4875,13.8075,TOP_LEVEL_GLOBAL_ROUTE_PENDING,NUMERIC_ALIGNMENT_RECORDED
precharge,folded_4row,0,BR,2.865,13.2075,0.565,0.72,4.275,3.71,1.41,-12.4875,13.8975,TOP_LEVEL_GLOBAL_ROUTE_PENDING,NUMERIC_ALIGNMENT_RECORDED
precharge,folded_4row,1,BL,3.235,13.2075,0.14,4.11,3.85,3.71,0.615,-9.0975,9.7125,TOP_LEVEL_GLOBAL_ROUTE_PENDING,NUMERIC_ALIGNMENT_RECORDED
precharge,folded_4row,1,BR,3.57,13.2075,0.565,4.11,4.275,3.71,0.705,-9.0975,9.8025,TOP_LEVEL_GLOBAL_ROUTE_PENDING,NUMERIC_ALIGNMENT_RECORDED
precharge,folded_4row,2,BL,3.94,13.2075,0.14,7.5,3.85,3.71,-0.09,-5.7075,5.7975,TOP_LEVEL_GLOBAL_ROUTE_PENDING,NUMERIC_ALIGNMENT_RECORDED
precharge,folded_4row,2,BR,4.275,13.2075,0.565,7.5,4.275,3.71,-0.0,-5.7075,5.7075,TOP_LEVEL_GLOBAL_ROUTE_PENDING,NUMERIC_ALIGNMENT_RECORDED
precharge,folded_4row,3,BL,4.645,13.2075,0.14,10.89,3.85,3.71,-0.795,-2.3175,3.1125,TOP_LEVEL_GLOBAL_ROUTE_PENDING,NUMERIC_ALIGNMENT_RECORDED
precharge,folded_4row,3,BR,4.98,13.2075,0.565,10.89,4.275,3.71,-0.705,-2.3175,3.0225,TOP_LEVEL_GLOBAL_ROUTE_PENDING,NUMERIC_ALIGNMENT_RECORDED
precharge,folded_4row,4,BL,5.35,13.2075,2.96,0.72,6.67,3.71,1.32,-12.4875,13.8075,TOP_LEVEL_GLOBAL_ROUTE_PENDING,NUMERIC_ALIGNMENT_RECORDED
precharge,folded_4row,4,BR,5.685,13.2075,3.385,0.72,7.095,3.71,1.41,-12.4875,13.8975,TOP_LEVEL_GLOBAL_ROUTE_PENDING,NUMERIC_ALIGNMENT_RECORDED
precharge,folded_4row,5,BL,6.055,13.2075,2.96,4.11,6.67,3.71,0.615,-9.0975,9.7125,TOP_LEVEL_GLOBAL_ROUTE_PENDING,NUMERIC_ALIGNMENT_RECORDED
precharge,folded_4row,5,BR,6.39,13.2075,3.385,4.11,7.095,3.71,0.705,-9.0975,9.8025,TOP_LEVEL_GLOBAL_ROUTE_PENDING,NUMERIC_ALIGNMENT_RECORDED
precharge,folded_4row,6,BL,6.76,13.2075,2.96,7.5,6.67,3.71,-0.09,-5.7075,5.7975,TOP_LEVEL_GLOBAL_ROUTE_PENDING,NUMERIC_ALIGNMENT_RECORDED
precharge,folded_4row,6,BR,7.095,13.2075,3.385,7.5,7.095,3.71,-0.0,-5.7075,5.7075,TOP_LEVEL_GLOBAL_ROUTE_PENDING,NUMERIC_ALIGNMENT_RECORDED
precharge,folded_4row,7,BL,7.465,13.2075,2.96,10.89,6.67,3.71,-0.795,-2.3175,3.1125,TOP_LEVEL_GLOBAL_ROUTE_PENDING,NUMERIC_ALIGNMENT_RECORDED
precharge,folded_4row,7,BR,7.8,13.2075,3.385,10.89,7.095,3.71,-0.705,-2.3175,3.0225,TOP_LEVEL_GLOBAL_ROUTE_PENDING,NUMERIC_ALIGNMENT_RECORDED
precharge,folded_4row,8,BL,8.17,13.2075,5.78,0.72,9.49,3.71,1.32,-12.4875,13.8075,TOP_LEVEL_GLOBAL_ROUTE_PENDING,NUMERIC_ALIGNMENT_RECORDED
precharge,folded_4row,8,BR,8.505,13.2075,6.205,0.72,9.915,3.71,1.41,-12.4875,13.8975,TOP_LEVEL_GLOBAL_ROUTE_PENDING,NUMERIC_ALIGNMENT_RECORDED
precharge,folded_4row,9,BL,8.875,13.2075,5.78,4.11,9.49,3.71,0.615,-9.0975,9.7125,TOP_LEVEL_GLOBAL_ROUTE_PENDING,NUMERIC_ALIGNMENT_RECORDED
precharge,folded_4row,9,BR,9.21,13.2075,6.205,4.11,9.915,3.71,0.705,-9.0975,9.8025,TOP_LEVEL_GLOBAL_ROUTE_PENDING,NUMERIC_ALIGNMENT_RECORDED
precharge,folded_4row,10,BL,9.58,13.2075,5.78,7.5,9.49,3.71,-0.09,-5.7075,5.7975,TOP_LEVEL_GLOBAL_ROUTE_PENDING,NUMERIC_ALIGNMENT_RECORDED
precharge,folded_4row,10,BR,9.915,13.2075,6.205,7.5,9.915,3.71,0.0,-5.7075,5.7075,TOP_LEVEL_GLOBAL_ROUTE_PENDING,NUMERIC_ALIGNMENT_RECORDED
precharge,folded_4row,11,BL,10.285,13.2075,5.78,10.89,9.49,3.71,-0.795,-2.3175,3.1125,TOP_LEVEL_GLOBAL_ROUTE_PENDING,NUMERIC_ALIGNMENT_RECORDED
precharge,folded_4row,11,BR,10.62,13.2075,6.205,10.89,9.915,3.71,-0.705,-2.3175,3.0225,TOP_LEVEL_GLOBAL_ROUTE_PENDING,NUMERIC_ALIGNMENT_RECORDED
precharge,folded_4row,12,BL,10.99,13.2075,8.6,0.72,12.31,3.71,1.32,-12.4875,13.8075,TOP_LEVEL_GLOBAL_ROUTE_PENDING,NUMERIC_ALIGNMENT_RECORDED
precharge,folded_4row,12,BR,11.325,13.2075,9.025,0.72,12.735,3.71,1.41,-12.4875,13.8975,TOP_LEVEL_GLOBAL_ROUTE_PENDING,NUMERIC_ALIGNMENT_RECORDED
precharge,folded_4row,13,BL,11.695,13.2075,8.6,4.11,12.31,3.71,0.615,-9.0975,9.7125,TOP_LEVEL_GLOBAL_ROUTE_PENDING,NUMERIC_ALIGNMENT_RECORDED
precharge,folded_4row,13,BR,12.03,13.2075,9.025,4.11,12.735,3.71,0.705,-9.0975,9.8025,TOP_LEVEL_GLOBAL_ROUTE_PENDING,NUMERIC_ALIGNMENT_RECORDED
precharge,folded_4row,14,BL,12.4,13.2075,8.6,7.5,12.31,3.71,-0.09,-5.7075,5.7975,TOP_LEVEL_GLOBAL_ROUTE_PENDING,NUMERIC_ALIGNMENT_RECORDED
precharge,folded_4row,14,BR,12.735,13.2075,9.025,7.5,12.735,3.71,0.0,-5.7075,5.7075,TOP_LEVEL_GLOBAL_ROUTE_PENDING,NUMERIC_ALIGNMENT_RECORDED
precharge,folded_4row,15,BL,13.105,13.2075,8.6,10.89,12.31,3.71,-0.795,-2.3175,3.1125,TOP_LEVEL_GLOBAL_ROUTE_PENDING,NUMERIC_ALIGNMENT_RECORDED
precharge,folded_4row,15,BR,13.44,13.2075,9.025,10.89,12.735,3.71,-0.705,-2.3175,3.0225,TOP_LEVEL_GLOBAL_ROUTE_PENDING,NUMERIC_ALIGNMENT_RECORDED
precharge,pin_aligned_staggered,0,BL,2.53,13.2075,0.14,0.72,2.53,2.39,-0.0,-12.4875,12.4875,TOP_LEVEL_GLOBAL_ROUTE_PENDING,NUMERIC_ALIGNMENT_RECORDED
precharge,pin_aligned_staggered,0,BR,2.865,13.2075,0.565,0.72,2.955,2.39,0.09,-12.4875,12.5775,TOP_LEVEL_GLOBAL_ROUTE_PENDING,NUMERIC_ALIGNMENT_RECORDED
precharge,pin_aligned_staggered,1,BL,3.235,13.2075,0.845,4.11,3.235,2.39,-0.0,-9.0975,9.0975,TOP_LEVEL_GLOBAL_ROUTE_PENDING,NUMERIC_ALIGNMENT_RECORDED
precharge,pin_aligned_staggered,1,BR,3.57,13.2075,1.27,4.11,3.66,2.39,0.09,-9.0975,9.1875,TOP_LEVEL_GLOBAL_ROUTE_PENDING,NUMERIC_ALIGNMENT_RECORDED
precharge,pin_aligned_staggered,2,BL,3.94,13.2075,1.55,0.72,3.94,2.39,-0.0,-12.4875,12.4875,TOP_LEVEL_GLOBAL_ROUTE_PENDING,NUMERIC_ALIGNMENT_RECORDED
precharge,pin_aligned_staggered,2,BR,4.275,13.2075,1.975,0.72,4.365,2.39,0.09,-12.4875,12.5775,TOP_LEVEL_GLOBAL_ROUTE_PENDING,NUMERIC_ALIGNMENT_RECORDED
precharge,pin_aligned_staggered,3,BL,4.645,13.2075,2.255,4.11,4.645,2.39,0.0,-9.0975,9.0975,TOP_LEVEL_GLOBAL_ROUTE_PENDING,NUMERIC_ALIGNMENT_RECORDED
precharge,pin_aligned_staggered,3,BR,4.98,13.2075,2.68,4.11,5.07,2.39,0.09,-9.0975,9.1875,TOP_LEVEL_GLOBAL_ROUTE_PENDING,NUMERIC_ALIGNMENT_RECORDED
precharge,pin_aligned_staggered,4,BL,5.35,13.2075,2.96,0.72,5.35,2.39,0.0,-12.4875,12.4875,TOP_LEVEL_GLOBAL_ROUTE_PENDING,NUMERIC_ALIGNMENT_RECORDED
precharge,pin_aligned_staggered,4,BR,5.685,13.2075,3.385,0.72,5.775,2.39,0.09,-12.4875,12.5775,TOP_LEVEL_GLOBAL_ROUTE_PENDING,NUMERIC_ALIGNMENT_RECORDED
precharge,pin_aligned_staggered,5,BL,6.055,13.2075,3.665,4.11,6.055,2.39,0.0,-9.0975,9.0975,TOP_LEVEL_GLOBAL_ROUTE_PENDING,NUMERIC_ALIGNMENT_RECORDED
precharge,pin_aligned_staggered,5,BR,6.39,13.2075,4.09,4.11,6.48,2.39,0.09,-9.0975,9.1875,TOP_LEVEL_GLOBAL_ROUTE_PENDING,NUMERIC_ALIGNMENT_RECORDED
precharge,pin_aligned_staggered,6,BL,6.76,13.2075,4.37,0.72,6.76,2.39,0.0,-12.4875,12.4875,TOP_LEVEL_GLOBAL_ROUTE_PENDING,NUMERIC_ALIGNMENT_RECORDED
precharge,pin_aligned_staggered,6,BR,7.095,13.2075,4.795,0.72,7.185,2.39,0.09,-12.4875,12.5775,TOP_LEVEL_GLOBAL_ROUTE_PENDING,NUMERIC_ALIGNMENT_RECORDED
precharge,pin_aligned_staggered,7,BL,7.465,13.2075,5.075,4.11,7.465,2.39,0.0,-9.0975,9.0975,TOP_LEVEL_GLOBAL_ROUTE_PENDING,NUMERIC_ALIGNMENT_RECORDED
precharge,pin_aligned_staggered,7,BR,7.8,13.2075,5.5,4.11,7.89,2.39,0.09,-9.0975,9.1875,TOP_LEVEL_GLOBAL_ROUTE_PENDING,NUMERIC_ALIGNMENT_RECORDED
precharge,pin_aligned_staggered,8,BL,8.17,13.2075,5.78,0.72,8.17,2.39,0.0,-12.4875,12.4875,TOP_LEVEL_GLOBAL_ROUTE_PENDING,NUMERIC_ALIGNMENT_RECORDED
precharge,pin_aligned_staggered,8,BR,8.505,13.2075,6.205,0.72,8.595,2.39,0.09,-12.4875,12.5775,TOP_LEVEL_GLOBAL_ROUTE_PENDING,NUMERIC_ALIGNMENT_RECORDED
precharge,pin_aligned_staggered,9,BL,8.875,13.2075,6.485,4.11,8.875,2.39,0.0,-9.0975,9.0975,TOP_LEVEL_GLOBAL_ROUTE_PENDING,NUMERIC_ALIGNMENT_RECORDED
precharge,pin_aligned_staggered,9,BR,9.21,13.2075,6.91,4.11,9.3,2.39,0.09,-9.0975,9.1875,TOP_LEVEL_GLOBAL_ROUTE_PENDING,NUMERIC_ALIGNMENT_RECORDED
precharge,pin_aligned_staggered,10,BL,9.58,13.2075,7.19,0.72,9.58,2.39,0.0,-12.4875,12.4875,TOP_LEVEL_GLOBAL_ROUTE_PENDING,NUMERIC_ALIGNMENT_RECORDED
precharge,pin_aligned_staggered,10,BR,9.915,13.2075,7.615,0.72,10.005,2.39,0.09,-12.4875,12.5775,TOP_LEVEL_GLOBAL_ROUTE_PENDING,NUMERIC_ALIGNMENT_RECORDED
precharge,pin_aligned_staggered,11,BL,10.285,13.2075,7.895,4.11,10.285,2.39,0.0,-9.0975,9.0975,TOP_LEVEL_GLOBAL_ROUTE_PENDING,NUMERIC_ALIGNMENT_RECORDED
precharge,pin_aligned_staggered,11,BR,10.62,13.2075,8.32,4.11,10.71,2.39,0.09,-9.0975,9.1875,TOP_LEVEL_GLOBAL_ROUTE_PENDING,NUMERIC_ALIGNMENT_RECORDED
precharge,pin_aligned_staggered,12,BL,10.99,13.2075,8.6,0.72,10.99,2.39,-0.0,-12.4875,12.4875,TOP_LEVEL_GLOBAL_ROUTE_PENDING,NUMERIC_ALIGNMENT_RECORDED
precharge,pin_aligned_staggered,12,BR,11.325,13.2075,9.025,0.72,11.415,2.39,0.09,-12.4875,12.5775,TOP_LEVEL_GLOBAL_ROUTE_PENDING,NUMERIC_ALIGNMENT_RECORDED
precharge,pin_aligned_staggered,13,BL,11.695,13.2075,9.305,4.11,11.695,2.39,0.0,-9.0975,9.0975,TOP_LEVEL_GLOBAL_ROUTE_PENDING,NUMERIC_ALIGNMENT_RECORDED
precharge,pin_aligned_staggered,13,BR,12.03,13.2075,9.73,4.11,12.12,2.39,0.09,-9.0975,9.1875,TOP_LEVEL_GLOBAL_ROUTE_PENDING,NUMERIC_ALIGNMENT_RECORDED
precharge,pin_aligned_staggered,14,BL,12.4,13.2075,10.01,0.72,12.4,2.39,-0.0,-12.4875,12.4875,TOP_LEVEL_GLOBAL_ROUTE_PENDING,NUMERIC_ALIGNMENT_RECORDED
precharge,pin_aligned_staggered,14,BR,12.735,13.2075,10.435,0.72,12.825,2.39,0.09,-12.4875,12.5775,TOP_LEVEL_GLOBAL_ROUTE_PENDING,NUMERIC_ALIGNMENT_RECORDED
precharge,pin_aligned_staggered,15,BL,13.105,13.2075,10.715,4.11,13.105,2.39,0.0,-9.0975,9.0975,TOP_LEVEL_GLOBAL_ROUTE_PENDING,NUMERIC_ALIGNMENT_RECORDED
precharge,pin_aligned_staggered,15,BR,13.44,13.2075,11.14,4.11,13.53,2.39,0.09,-9.0975,9.1875,TOP_LEVEL_GLOBAL_ROUTE_PENDING,NUMERIC_ALIGNMENT_RECORDED
sense_amp,single_row,0,BL,2.53,13.2075,0.225,0.005,0.64,0.415,-1.89,-13.2025,15.0925,TOP_LEVEL_GLOBAL_ROUTE_PENDING,NUMERIC_ALIGNMENT_RECORDED
