openyield_module_name,layout_instance_name,physical_role,region,source_gds,placed_bbox,r4_routing_participation,r4_power_participation,r4_pin_participation,net_mapping_available,future_lvs_mapping_required
sense_amp,sense_amp_inst,SENSE_AMP,COLUMN_PERIPHERY_REGION,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/openyield_module_gds/sense_amp/sense_amp.gds,"{'x0': 13.79, 'y0': 15.825, 'x1': 14.565, 'y1': 21.835, 'width': 0.775, 'height': 6.01}",True,True,True,True,True
write_driver,write_driver_inst,WRITE_DRIVER,COLUMN_PERIPHERY_REGION,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/openyield_module_gds/write_driver/write_driver.gds,"{'x0': 14.685, 'y0': 15.825, 'x1': 15.525, 'y1': 20.0, 'width': 0.84, 'height': 4.175}",True,True,True,True,True
CONTROL_LOGIC,CONTROL_LOGIC_inst,CONTROL_LOGIC,CONTROL_PERIPHERY_REGION,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/openyield_module_gds/CONTROL_LOGIC/CONTROL_LOGIC.gds,"{'x0': 21.58, 'y0': 8.0, 'x1': 27.685, 'y1': 12.235, 'width': 6.105, 'height': 4.235}",True,True,True,True,True
DELAY_CHAIN,DELAY_CHAIN_inst,DELAY_CHAIN,CONTROL_PERIPHERY_REGION,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/openyield_module_gds/DELAY_CHAIN/DELAY_CHAIN.gds,"{'x0': 28.885, 'y0': 8.0, 'x1': 32.175, 'y1': 10.585, 'width': 3.29, 'height': 2.585}",True,True,True,True,True
PRECHARGE_ENABLE_PATH,PRECHARGE_ENABLE_PATH_inst,ENABLE_PATH,CONTROL_PERIPHERY_REGION,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/openyield_module_gds/PRECHARGE_ENABLE_PATH/PRECHARGE_ENABLE_PATH.gds,"{'x0': 21.58, 'y0': 13.035, 'x1': 25.825, 'y1': 17.1, 'width': 4.245, 'height': 4.065}",True,True,True,True,True
SENSE_ENABLE_PATH,SENSE_ENABLE_PATH_inst,ENABLE_PATH,CONTROL_PERIPHERY_REGION,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/openyield_module_gds/SENSE_ENABLE_PATH/SENSE_ENABLE_PATH.gds,"{'x0': 27.025, 'y0': 13.035, 'x1': 30.4475, 'y1': 20.61, 'width': 3.4225, 'height': 7.575}",True,True,True,True,True
WRITE_ENABLE_PATH,WRITE_ENABLE_PATH_inst,ENABLE_PATH,CONTROL_PERIPHERY_REGION,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/openyield_module_gds/WRITE_ENABLE_PATH/WRITE_ENABLE_PATH.gds,"{'x0': 21.58, 'y0': 21.41, 'x1': 23.2425, 'y1': 28.17, 'width': 1.6625, 'height': 6.76}",True,True,True,True,True
WORDLINE_ENABLE_PATH,WORDLINE_ENABLE_PATH_inst,ENABLE_PATH,CONTROL_PERIPHERY_REGION,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/openyield_module_gds/WORDLINE_ENABLE_PATH/WORDLINE_ENABLE_PATH.gds,"{'x0': 24.4425, 'y0': 21.41, 'x1': 28.31, 'y1': 24.48, 'width': 3.8675, 'height': 3.07}",True,True,True,True,True
GATED_CLOCK_PATH,GATED_CLOCK_PATH_inst,CLOCK_PATH,CONTROL_PERIPHERY_REGION,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/openyield_module_gds/GATED_CLOCK_PATH/GATED_CLOCK_PATH.gds,"{'x0': 21.58, 'y0': 28.97, 'x1': 24.2625, 'y1': 31.93, 'width': 2.6825, 'height': 2.96}",True,True,True,True,True
DFF_ROW,DFF_ROW_inst,DFF_ROW,CONTROL_PERIPHERY_REGION,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/openyield_module_gds/DFF_ROW/DFF_ROW.gds,"{'x0': 25.4625, 'y0': 28.97, 'x1': 36.9025, 'y1': 31.64, 'width': 11.44, 'height': 2.67}",True,True,True,True,True
